,Date,Open,High,Low,Close,Adj Close,Volume,year,month,year_month
0,2021-04-14,71.120003,73.510002,70.980003,72.279999,72.279999,3460300,2021,04,202104
1,2021-04-13,70.120003,70.860001,69.540001,70.279999,70.279999,3951900,2021,04,202104
2,2021-04-12,71.93,72.82,70.120003,70.300003,70.300003,3111800,2021,04,202104
3,2021-04-09,72.550003,73.230003,70.779999,71.089996,71.089996,3501300,2021,04,202104
4,2021-04-08,73.419998,73.779999,71.910004,72.879997,72.879997,4285400,2021,04,202104
5,2021-04-07,74.330002,75.25,73.779999,74.410004,74.410004,2774000,2021,04,202104
6,2021-04-06,75.099998,76.959999,73.32,74.18,74.18,3626100,2021,04,202104
7,2021-04-05,76.099998,76.199997,73.099998,74.620003,74.620003,3820200,2021,04,202104
8,2021-04-01,72.139999,75.330002,71.309998,75.300003,75.300003,3792700,2021,04,202104
9,2021-03-31,71.449997,72.410004,70.949997,71.599998,71.599998,3014500,2021,03,202103
10,2021-03-30,71.160004,72.870003,70.849998,71.779999,71.779999,2364700,2021,03,202103
11,2021-03-29,72.089996,72.970001,70.720001,71.860001,71.860001,2406200,2021,03,202103
12,2021-03-26,73.989998,74.669998,71.800003,73.110001,73.110001,2728400,2021,03,202103
13,2021-03-25,70.040001,72.809998,69.050003,72.419998,72.419998,3263000,2021,03,202103
14,2021-03-24,71.669998,73.449997,71.379997,71.779999,71.779999,2895500,2021,03,202103
15,2021-03-23,70.830002,72.160004,69.720001,70.080002,70.080002,4084700,2021,03,202103
16,2021-03-22,73.519997,73.629997,71.43,72.279999,72.279999,4149100,2021,03,202103
17,2021-03-19,74.010002,74.970001,72.650002,73.699997,73.699997,11303200,2021,03,202103
18,2021-03-18,78.690002,78.809998,73.5,73.699997,73.699997,6231700,2021,03,202103
19,2021-03-17,78.68,79.800003,77.080002,79.139999,79.139999,3503900,2021,03,202103
20,2021-03-16,80.5,80.919998,78.699997,79.32,79.32,3767500,2021,03,202103
21,2021-03-15,82.709999,83.239998,80.209999,81.830002,81.830002,2961000,2021,03,202103
22,2021-03-12,82.870003,83.739998,81.650002,82.419998,82.419998,2492000,2021,03,202103
23,2021-03-11,81.550003,84.389999,81.480003,82.480003,82.480003,4253600,2021,03,202103
24,2021-03-10,77.599998,81.5,77.099998,81.370003,81.370003,4067800,2021,03,202103
25,2021-03-09,79.75,81.339996,76.510002,76.580002,76.580002,5456900,2021,03,202103
26,2021-03-08,80.0,82.599998,79.540001,80.559998,80.559998,4834100,2021,03,202103
27,2021-03-05,78.0,79.059998,74.82,79.029999,79.029999,4663300,2021,03,202103
28,2021-03-04,78.0,78.610001,73.800003,76.370003,76.370003,6350400,2021,03,202103
29,2021-03-03,77.410004,79.760002,76.970001,77.529999,77.529999,4144200,2021,03,202103
30,2021-03-02,77.690002,78.760002,76.580002,76.629997,76.629997,3457700,2021,03,202103
31,2021-03-01,78.5,79.199997,77.720001,77.800003,77.800003,2974200,2021,03,202103
32,2021-02-26,77.209999,78.029999,73.260002,76.980003,76.980003,5344400,2021,02,202102
33,2021-02-25,78.870003,79.459999,77.050003,78.150002,78.150002,6460800,2021,02,202102
34,2021-02-24,76.400002,78.43,76.25,78.160004,78.160004,4578400,2021,02,202102
35,2021-02-23,75.459999,76.199997,72.779999,75.809998,75.809998,4794700,2021,02,202102
36,2021-02-22,71.669998,75.379997,71.620003,74.25,74.25,4771800,2021,02,202102
37,2021-02-19,68.269997,72.150002,68.18,71.529999,71.529999,5783400,2021,02,202102
38,2021-02-18,67.779999,68.410004,66.349998,67.830002,67.830002,3096500,2021,02,202102
39,2021-02-17,67.300003,68.580002,66.370003,68.120003,68.120003,3352600,2021,02,202102
40,2021-02-16,66.0,67.730003,65.739998,66.959999,66.959999,4645500,2021,02,202102
41,2021-02-12,63.830002,64.779999,63.799999,64.739998,64.739998,2577500,2021,02,202102
42,2021-02-11,64.669998,64.989998,62.880001,64.550003,64.550003,2505100,2021,02,202102
43,2021-02-10,63.779999,65.400002,63.389999,65.110001,65.110001,3574100,2021,02,202102
44,2021-02-09,64.790001,65.199997,63.389999,64.589996,63.609997,3864900,2021,02,202102
45,2021-02-08,62.419998,65.540001,62.34,64.790001,63.806969,4217700,2021,02,202102
46,2021-02-05,62.02,62.57,61.27,61.720001,60.783546,3126900,2021,02,202102
47,2021-02-04,60.880001,61.919998,60.130001,61.060001,60.133564,3643600,2021,02,202102
48,2021-02-03,58.0,61.119999,58.0,60.099998,59.188126,5257300,2021,02,202102
49,2021-02-02,57.630001,59.09,56.5,57.77,56.893478,3919200,2021,02,202102
50,2021-02-01,56.939999,57.5,54.84,56.240002,55.386696,4159400,2021,02,202102
51,2021-01-29,58.0,59.950001,55.939999,56.43,55.573811,5511800,2021,01,202101
