일자,구분,죄종,발생검거,건수
2001,중부,살인,발생,0
2001,중부,살인,검거,0
2001,중부,강도,발생,17
2001,중부,강도,검거,6
2001,중부,강간,발생,80
2001,중부,강간,검거,22
2001,중부,절도,발생,1156
2001,중부,절도,검거,388
2001,중부,폭력,발생,1647
2001,중부,폭력,검거,1471
2001,종로,살인,발생,3
2001,종로,살인,검거,3
2001,종로,강도,발생,14
2001,종로,강도,검거,41
2001,종로,강간,발생,37
2001,종로,강간,검거,35
2001,종로,절도,발생,779
2001,종로,절도,검거,540
2001,종로,폭력,발생,2096
2001,종로,폭력,검거,1903
2001,남대문,살인,발생,6
2001,남대문,살인,검거,6
2001,남대문,강도,발생,14
2001,남대문,강도,검거,15
2001,남대문,강간,발생,16
2001,남대문,강간,검거,18
2001,남대문,절도,발생,910
2001,남대문,절도,검거,414
2001,남대문,폭력,발생,1364
2001,남대문,폭력,검거,1306
2001,서대문,살인,발생,2
2001,서대문,살인,검거,3
2001,서대문,강도,발생,51
2001,서대문,강도,검거,48
2001,서대문,강간,발생,69
2001,서대문,강간,검거,47
2001,서대문,절도,발생,1065
2001,서대문,절도,검거,638
2001,서대문,폭력,발생,2611
2001,서대문,폭력,검거,2359
2001,혜화,살인,발생,4
2001,혜화,살인,검거,4
2001,혜화,강도,발생,33
2001,혜화,강도,검거,26
2001,혜화,강간,발생,113
2001,혜화,강간,검거,51
2001,혜화,절도,발생,1521
2001,혜화,절도,검거,774
2001,혜화,폭력,발생,2529
2001,혜화,폭력,검거,2312
2001,용산,살인,발생,3
2001,용산,살인,검거,3
2001,용산,강도,발생,71
2001,용산,강도,검거,45
2001,용산,강간,발생,38
2001,용산,강간,검거,31
2001,용산,절도,발생,1845
2001,용산,절도,검거,1604
2001,용산,폭력,발생,2519
2001,용산,폭력,검거,2214
2001,성북,살인,발생,2
2001,성북,살인,검거,1
2001,성북,강도,발생,22
2001,성북,강도,검거,22
2001,성북,강간,발생,50
2001,성북,강간,검거,35
2001,성북,절도,발생,771
2001,성북,절도,검거,698
2001,성북,폭력,발생,1759
2001,성북,폭력,검거,1619
2001,동대문,살인,발생,11
