범죄명,장소,발생건수,,,
살인,"아파트, 연립 다세대",45,,,
살인,단독주택,52,,,
살인,노상,44,,,
살인,상점,6,,,
살인,"숙박업소, 목욕탕",6,,,
살인,유흥 접객업소,15,,,
살인,사무실,12,,,
살인,"역, 대합실",0,,,
살인,교통수단,2,,,
살인,유원지 ,2,,,
살인,학교,0,,,
살인,금융기관,0,,,
살인,기타,73,,,
강도,"아파트, 연립 다세대",49,,,
강도,단독주택,119,,,
강도,노상,275,,,
강도,상점,98,,,
강도,"숙박업소, 목욕탕",37,,,
강도,유흥 접객업소,71,,,
강도,사무실,37,,,
강도,"역, 대합실",6,,,
강도,교통수단,8,,,
강도,유원지 ,13,,,
강도,학교,2,,,
강도,금융기관,4,,,
강도,기타,238,,,
강간.추행,"아파트, 연립 다세대",279,,,
강간.추행,단독주택,485,,,
강간.추행,노상,643,,,
강간.추행,상점,55,,,
강간.추행,"숙박업소, 목욕탕",630,,,
강간.추행,유흥 접객업소,314,,,
강간.추행,사무실,97,,,
강간.추행,"역, 대합실",87,,,
강간.추행,교통수단,900,,,
강간.추행,유원지 ,39,,,
강간.추행,학교,25,,,
강간.추행,금융기관,2,,,
강간.추행,기타,1710,,,
절도,"아파트, 연립 다세대",3607,,,
절도,단독주택,4952,,,
절도,노상,9209,,,
절도,상점,4340,,,
절도,"숙박업소, 목욕탕",1541,,,
절도,유흥 접객업소,2595,,,
절도,사무실,1484,,,
절도,"역, 대합실",317,,,
절도,교통수단,877,,,
절도,유원지 ,269,,,
절도,학교,408,,,
절도,금융기관,1266,,,
절도,기타,23437,,,
폭력,"아파트, 연립 다세대",2672,,,
폭력,단독주택,3025,,,
폭력,노상,22700,,,
폭력,상점,1265,,,
폭력,"숙박업소, 목욕탕",770,,,
폭력,유흥 접객업소,5647,,,
폭력,사무실,1953,,,
폭력,"역, 대합실",571,,,
폭력,교통수단,689,,,
폭력,유원지 ,587,,,
폭력,학교,309,,,
폭력,금융기관,68,,,
폭력,기타,31788,,,
