범죄명,장소,발생건수,,,,
살인,"아파트, 연립 다세대",26,,,,
살인,단독주택,26,,,,
살인,노상,32,,,,
살인,상점,1,,,,
살인,"숙박업소, 목욕탕",2,,,,
살인,유흥 접객업소,9,,,,
살인,사무실,9,,,,
살인,"역, 대합실",1,,,,
살인,교통수단,0,,,,
살인,유원지 ,3,,,,
살인,학교,1,,,,
살인,금융기관,0,,,,
살인,기타,69,,,,
강도,"아파트, 연립 다세대",23,,,,
강도,단독주택,51,,,,
강도,노상,151,,,,
강도,상점,65,,,,
강도,"숙박업소, 목욕탕",13,,,,
강도,유흥 접객업소,31,,,,
강도,사무실,8,,,,
강도,"역, 대합실",4,,,,
강도,교통수단,3,,,,
강도,유원지 ,4,,,,
강도,학교,1,,,,
강도,금융기관,4,,,,
강도,기타,212,,,,
강간.추행,"아파트, 연립 다세대",306,,,,
강간.추행,단독주택,387,,,,
강간.추행,노상,743,,,,
강간.추행,상점,44,,,,
강간.추행,"숙박업소, 목욕탕",511,,,,
강간.추행,유흥 접객업소,279,,,,
강간.추행,사무실,77,,,,
강간.추행,"역, 대합실",101,,,,
강간.추행,교통수단,460,,,,
강간.추행,유원지 ,43,,,,
강간.추행,학교,18,,,,
강간.추행,금융기관,1,,,,
강간.추행,기타,1938,,,,
절도,"아파트, 연립 다세대",2862,,,,
절도,단독주택,3604,,,,
절도,노상,9011,,,,
절도,상점,4002,,,,
절도,"숙박업소, 목욕탕",2953,,,,
절도,유흥 접객업소,2911,,,,
절도,사무실,1039,,,,
절도,"역, 대합실",382,,,,
절도,교통수단,877,,,,
절도,유원지 ,459,,,,
절도,학교,894,,,,
절도,금융기관,1257,,,,
절도,기타,31185,,,,
폭력,"아파트, 연립 다세대",2158,,,,
폭력,단독주택,2806,,,,
폭력,노상,18450,,,,
폭력,상점,888,,,,
폭력,"숙박업소, 목욕탕",511,,,,
폭력,유흥 접객업소,4123,,,,
폭력,사무실,1535,,,,
폭력,"역, 대합실",451,,,,
폭력,교통수단,456,,,,
폭력,유원지 ,459,,,,
폭력,학교,394,,,,
폭력,금융기관,52,,,,
폭력,기타,38349,,,,
