범죄명,장소,발생건수
살인,"아파트, 연립 다세대",26
살인,단독주택,41
살인,노상,29
살인,상점,4
살인,"숙박업소, 목욕탕",4
살인,유흥 접객업소,12
살인,사무실,6
살인,"역, 대합실",1
살인,교통수단,0
살인,유원지 ,3
살인,학교,0
살인,금융기관,0
살인,기타,26
강도,"아파트, 연립 다세대",37
강도,단독주택,39
강도,노상,141
강도,상점,69
강도,"숙박업소, 목욕탕",16
강도,유흥 접객업소,37
강도,사무실,17
강도,"역, 대합실",2
강도,교통수단,3
강도,유원지 ,3
강도,학교,2
강도,금융기관,0
강도,기타,54
강간.추행,"아파트, 연립 다세대",412
강간.추행,단독주택,503
강간.추행,노상,1150
강간.추행,상점,104
강간.추행,"숙박업소, 목욕탕",775
강간.추행,유흥 접객업소,498
강간.추행,사무실,116
강간.추행,"역, 대합실",211
강간.추행,교통수단,685
강간.추행,유원지 ,65
강간.추행,학교,38
강간.추행,금융기관,2
강간.추행,기타,828
절도,"아파트, 연립 다세대",5001
절도,단독주택,5922
절도,노상,14183
절도,상점,6909
절도,"숙박업소, 목욕탕",3779
절도,유흥 접객업소,5093
절도,사무실,1536
절도,"역, 대합실",665
절도,교통수단,1261
절도,유원지 ,774
절도,학교,1018
절도,금융기관,1891
절도,기타,13553
폭력,"아파트, 연립 다세대",3797
폭력,단독주택,5091
폭력,노상,31370
폭력,상점,1705
폭력,"숙박업소, 목욕탕",819
폭력,유흥 접객업소,7018
폭력,사무실,1981
폭력,"역, 대합실",721
폭력,교통수단,877
폭력,유원지 ,636
폭력,학교,299
폭력,금융기관,99
폭력,기타,11009
