지역 및 규모,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09
전국(40㎡이하),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.0181745,99.95347532,99.88477471,99.72378308,99.46268598,99.18447607,98.8324038,98.60987799,98.25575956,98.32852658,98.35215855,98.16877741,97.80806635,97.33641489,97.00849812,96.6744588,96.1715317,95.86159723,95.66176927,95.32818178,94.94021879,94.704522
전국(40㎡초과 ~ 60㎡이하),90.04620449,90.43221305,90.79031158,91.19306694,91.36237802,91.45103657,91.52202487,91.64004194,91.81333101,92.22944747,92.59785881,92.8707838,93.09492819,93.32332535,93.64950949,94.12466282,94.806464,95.31073054,95.85843417,96.23596915,96.62918521,97.11249606,97.57560881,98.03109709,98.23942709,98.26058414,98.23585631,98.20982616,98.23177011,98.25157764,98.28600557,98.32959867,98.42063226,98.50865309,98.74910112,99.00045368,99.04599416,99.06567327,99.05007555,99.08286063,99.15583281,99.25275369,99.47385146,99.67025815,99.90825394,99.94856764,99.99509634,100,99.99681817,100.0122412,100.0237924,100.0083628,99.85788355,99.58246727,99.30562686,99.05599608,98.85349073,99.03311968,99.04467238,98.94673237,98.6600099,98.28356909,97.9682514,97.55559457,97.0396455,96.62552105,96.245298,95.91575535,95.64682891,95.47745981
전국(60㎡초과 ~ 85㎡이하),91.34486439,91.71976893,92.01746041,92.35756665,92.46437007,92.49675625,92.53835573,92.59949947,92.73601973,93.05537798,93.38838506,93.63785272,93.83501978,94.00955632,94.26626915,94.63018586,95.23460084,95.68005338,96.18922316,96.51885612,96.86152428,97.28452488,97.72839161,98.1217234,98.34503644,98.37549167,98.37264881,98.33744136,98.32285883,98.34205778,98.38132195,98.42120335,98.48156115,98.57869816,98.79444536,98.98594881,99.04090136,99.05392999,99.04583467,99.08014778,99.12596978,99.23617408,99.44492977,99.560749,99.7911048,99.82965644,99.90606428,100,100.0926833,100.247037,100.4854809,100.6215682,100.6520319,100.5138188,100.3946201,100.2766068,100.1859657,100.5221593,100.6831793,100.6468446,100.4770903,100.2047221,99.97977365,99.69871184,99.31931252,99.00741734,98.76024372,98.59300955,98.52423022,98.52231774
전국(85㎡초과 ~ 102㎡이하),91.73821594,92.02262545,92.28845261,92.49528335,92.51386082,92.49353386,92.47966386,92.58322551,92.67198837,93.05894916,93.46717657,93.71522796,93.82911937,94.00480761,94.23268833,94.58703483,95.11903275,95.4551825,95.83564488,96.17892963,96.45926741,96.70643974,97.01920604,97.36074632,97.51989957,97.50555872,97.43427678,97.35254293,97.33024437,97.37904621,97.46959619,97.56299302,97.6996651,97.85206443,98.23108745,98.46823339,98.50048509,98.48064238,98.44497965,98.50447603,98.57360215,98.80440578,99.11665651,99.24594125,99.56043828,99.67065142,99.83610082,100,100.2851116,100.765885,101.2893287,101.6796349,101.8166466,101.8768244,101.8927719,101.9292256,102.0662486,102.6142917,102.9499951,103.1880159,103.2267189,103.1227148,102.9360324,102.7141619,102.3617911,102.0886787,101.9256226,101.8883328,101.8513633,101.9859491
전국(102㎡초과 ~ 135㎡이하),93.54358529,93.75284596,93.82820953,93.98870257,94.00048007,93.95422036,93.94288452,93.93592761,93.97768801,94.1943964,94.45331169,94.6364089,94.78122415,94.96121535,95.20493711,95.52830785,96.00265255,96.38982477,96.80262681,97.08313599,97.3225703,97.66912484,98.04077325,98.3375359,98.46919485,98.48191569,98.4805292,98.44369642,98.43468189,98.46256737,98.51196102,98.56636497,98.62244901,98.71488407,98.91205775,99.09501183,99.11318175,99.07891772,99.07566804,99.07917739,99.12590215,99.17361725,99.36638897,99.51108895,99.71945387,99.81816231,99.89649056,100,100.1953841,100.571985,101.1166358,101.4087249,101.5433162,101.6357279,101.6772403,101.6703053,101.8478794,102.3614062,102.6804643,102.8306064,102.8535008,102.7038738,102.5294342,102.3378625,102.1249982,101.9595435,101.806462,101.7068514,101.6984598,101.7890918
전국(135㎡초과),95.58109257,95.50341286,95.4884771,95.46867144,95.35609784,95.19454226,95.06947379,94.93412862,94.96638636,95.0015522,95.0956584,95.24166407,95.37371618,95.47261221,95.63051288,95.97724392,96.35364849,96.59256095,96.92376432,97.13520368,97.2770327,97.54403521,97.76819234,98.01458466,98.07667367,98.06478875,98.03461128,98.00407974,97.93673394,97.94747172,97.99877913,98.08636708,98.15023909,98.26452892,98.52214035,98.65580467,98.69420183,98.6630093,98.64114118,98.69057059,98.82109947,98.97813567,99.23809038,99.40006012,99.70095194,99.78390886,99.87634653,100,100.3663476,100.9924473,101.7758708,102.0742812,102.3494149,102.5173429,102.6220972,102.6504961,102.6971864,103.3446276,103.673655,103.8587256,103.9314299,103.7791751,103.6186142,103.4874978,103.2987373,103.2091441,103.1006709,103.0092451,103.0456349,103.1844924
수도권(40㎡이하),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100.2374335,100.4356842,100.7269394,100.9866972,101.0710532,101.01391,100.8420116,100.8285927,100.8022881,101.417412,101.8404238,101.8473797,101.5930323,101.2429415,101.0347663,100.6936541,100.0857157,99.70831553,99.58978629,99.35907955,99.15559299,99.11698616
수도권(40㎡초과 ~ 60㎡이하),84.71497899,85.02888666,85.43061808,85.92917324,85.99984283,85.99938569,86.00971106,86.03521914,86.24001095,86.80654068,87.24081131,87.48040834,87.64553419,87.87486842,88.27591252,88.85784504,89.75319643,90.43068455,91.16863773,91.73077232,92.27236395,92.91734309,93.58593723,94.19004698,94.52681662,94.57144879,94.59281249,94.6291205,94.75634644,94.94443132,95.2327723,95.48590795,95.80083326,96.05491115,96.50748019,96.95838383,97.08698699,97.14252837,97.18020148,97.28920827,97.53746353,97.85733584,98.37497454,98.8334391,99.41270506,99.5638064,99.76927037,100,100.1949939,100.5632913,100.9753312,101.2630435,101.3645384,101.3503841,101.2791006,101.2574955,101.4456812,102.3453888,102.816753,103.000183,102.9049872,102.5734349,102.2818945,101.896751,101.3901905,101.0223406,100.7416176,100.6031228,100.5785581,100.6911986
수도권(60㎡초과 ~ 85㎡이하),88.39647547,88.74852828,89.08942635,89.54314816,89.57692027,89.51881759,89.47661596,89.47919503,89.60509022,90.02968445,90.38611803,90.62051402,90.75311509,90.90533466,91.21130696,91.64145484,92.3521904,92.90442826,93.50613165,93.93217489,94.36339913,94.86771807,95.41547992,95.8793244,96.15611576,96.21072523,96.2141064,96.19684815,96.2078976,96.28311193,96.44762866,96.61023909,96.78788076,96.97389139,97.31658327,97.61440282,97.7087654,97.72283284,97.74599902,97.82725316,97.96560427,98.20235966,98.63566974,98.91259988,99.3685894,99.5004616,99.7094311,100,100.2971304,100.7876262,101.4231008,101.8188278,102.0721594,102.1606077,102.251302,102.3485282,102.5982838,103.5623654,104.063064,104.2177168,104.1928141,103.9343237,103.6967914,103.395505,102.9961985,102.71241,102.529268,102.4821164,102.5107161,102.6675459
수도권(85㎡초과 ~ 102㎡이하),89.95312232,90.25494729,90.57930049,90.84832928,90.84573707,90.8018856,90.78431312,90.94494335,91.08840477,91.6267788,92.14303443,92.39582157,92.50918175,92.66303247,92.93811419,93.36103971,93.91536521,94.3286935,94.75524402,95.20883198,95.51305251,95.86323966,96.21453842,96.6304868,96.77876919,96.76198118,96.69044046,96.57016729,96.53454329,96.6031228,96.74554777,96.87016875,97.06655246,97.23437659,97.65697032,97.94904289,97.94166077,97.87698635,97.83758208,97.90482528,98.00163686,98.2215342,98.67441871,98.8860356,99.32091055,99.46250043,99.70899785,100,100.4281518,101.08746,101.7921073,102.3628945,102.6092216,102.7790586,102.8516512,102.9202312,103.1800673,104.0905744,104.5067548,104.6505223,104.6269046,104.4668066,104.2450606,104.0335441,103.627304,103.2882674,103.1435772,103.1816454,103.1806291,103.3985891
