지역,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19
전국,63.23169436,62.87136878,62.71982024,62.93091363,63.18175407,63.4497998,63.52455441,63.4615756,63.36686781,63.16940012,63.06114079,62.98979648,62.74479524,62.48308965,62.32945548,62.65825403,63.02079527,63.50358028,63.98563317,64.75343855,65.42889248,65.73387553,65.90061241,65.91710434,65.9581857,66.10675783,66.38559209,66.76988341,67.31741649,68.00152493,68.80757606,69.1928595,69.34782045,69.50755189,69.8776636,70.97187521,73.65316718,75.30795455,76.33664439,76.6996292,76.89620154,77.06571147,77.09272536,77.21023582,77.40827434,77.61251095,77.86375804,78.18786808,78.50535223,78.72699276,79.05651462,79.36113675,80.05262326,81.17109446,81.9023268,82.75799631,83.30394589,83.62023184,83.98118079,83.91877325,83.43758053,82.66901178,82.10614778,81.85352841,81.66371893,81.70500094,81.83406893,81.99381254,82.27311635,82.5346518,83.18313466,83.50738374,83.764953,83.89927906,84.01247088,84.31049626,84.53045212,84.68282528,84.6936587,84.63825765,84.4858204,84.40351435,84.49550576,84.68240591,85.06514822,85.49051317,85.96503306,86.78593548,87.78180904,89.06410704,89.29802418,89.85584105,90.33132704,90.89810252,91.47091713,91.88376726,92.34289455,92.49446303,92.75621629,92.76556103,92.78574258,92.72324975,92.59352942,92.30495206,91.94403937,91.55077528,91.23833463,90.98871665,90.78289804,90.52837081,90.23521549,90.03189324,89.93830877,90.10435393,90.33190616,90.40055811,90.35020352,90.22962892,90.31991043,90.71663853,90.98521249,91.21131435,91.54863198,91.8353952,92.16530805,92.27597626,92.3142688,92.35372464,92.42476994,92.560949,92.90183805,93.23528456,93.48360425,93.68109134,93.87259626,94.1504757,94.55306474,95.1627536,95.61529941,96.11932224,96.45965007,96.80202095,97.2283481,97.66180848,98.0604396,98.26265501,98.28594272,98.27295635,98.23891414,98.23680221,98.25807834,98.29852587,98.34500615,98.42093122,98.51703723,98.74922106,98.96389399,99.01216536,99.0203277,99.01041436,99.04452396,99.10518086,99.20998678,99.42674488,99.5775079,99.81325699,99.86383458,99.9341785,100,100.0838413,100.228791,100.4331738,100.5321889,100.5069537,100.3575735,100.2033831,100.0601533,99.95653359,100.2608305,100.3903878,100.3608985,100.1752676,99.88511577,99.63118029,99.3205905,98.91547167,98.59402373,98.32601084,98.11179896,97.97067848,97.92036548,98.02738226,98.24870578
수도권,64.87361913,64.49077113,64.27123971,64.47638495,64.70116186,64.96942223,64.96402504,64.77622926,64.57224483,64.20185748,63.91957343,63.66882841,63.29447891,62.94590793,62.69023213,63.14997263,63.54708932,64.06439819,64.63779717,65.79631438,66.81923554,67.11776754,67.21458499,67.10600623,67.12540297,67.2801147,67.62879846,68.1733631,68.9677204,70.08073347,71.42741624,72.10271493,72.41459853,72.72833156,73.39588816,75.33877247,80.405913,83.59057194,85.56770244,86.26192259,86.64235099,86.95808402,87.03762639,87.27977236,87.71823857,88.16152392,88.66295391,89.24014237,89.79197692,90.15803546,90.73996717,91.29875482,92.57646643,94.55311823,95.89707653,97.34625759,98.2343085,98.64395847,99.04696272,98.72330242,97.68143464,96.25755647,95.30222822,94.90060031,94.51678195,94.54815822,94.71862113,94.96949475,95.4440249,95.79398071,96.63552762,96.91635531,96.92188248,96.83618313,96.8172136,96.91075761,96.86481462,96.66371818,96.13207593,95.61579725,94.97522357,94.49027081,94.25466198,94.08806942,93.97718809,94.01675333,94.14299114,94.44548633,94.72331897,94.83833721,94.84905154,94.78614816,94.68222678,94.63616809,94.6073305,94.55566068,94.42984321,94.28409893,94.01714851,93.86837427,93.58203339,93.24039049,92.83854818,92.29808991,91.70860024,91.00086252,90.39025777,89.84006332,89.37187721,88.84097085,88.25888189,87.87178537,87.64290377,87.6913054,87.87317822,87.82813779,87.5447189,87.26477356,87.33021993,87.78061446,87.97661791,88.09352186,88.36094724,88.6768335,89.09494502,89.11473591,89.06096266,89.0254692,89.026011,89.15707182,89.59610752,89.96062337,90.17477699,90.29832861,90.4678041,90.7952518,91.26786083,91.99569318,92.56377776,93.1728939,93.62496366,94.05831757,94.57335677,95.12707466,95.6082062,95.88495445,95.92944081,95.93159792,95.92647424,95.97235925,96.07828226,96.27381794,96.4614295,96.67856085,96.87960966,97.2546613,97.58855914,97.67392681,97.68430213,97.69855293,97.77959174,97.93975778,98.17502699,98.62016917,98.94453575,99.41578981,99.54810662,99.74788681,100,100.2886998,100.7712561,101.3729483,101.7465732,101.9423705,102.0097216,102.0507115,102.1031425,102.335857,103.2562034,103.7456084,103.9116375,103.8542495,103.591534,103.3380443,103.0264253,102.612767,102.311731,102.1176649,102.0453674,102.0516886,102.191741,102.5156653,102.9725781
지방권,61.45133283,61.11618728,61.04214118,61.260147,61.54058594,61.80868516,61.9739041,62.05207819,62.08137377,62.08096907,62.17194737,62.30728376,62.21175818,62.05063182,62.01578776,62.1924507,62.5153964,62.95888708,63.33583521,63.65539392,63.93677269,64.24942327,64.4955422,64.65413637,64.7199673,64.86175167,65.06148941,65.26454992,65.5345705,65.74083752,65.95271935,66.02288621,66.00839845,66.00254019,66.05470159,66.25491595,66.51986014,66.69151383,66.82350347,66.8770943,66.90282486,66.93668318,66.91555519,66.91824693,66.89600934,66.88213061,66.90552249,66.99893458,67.10330599,67.19351271,67.29507533,67.37157774,67.5405717,67.89996883,68.09640457,68.43444453,68.68224976,68.91273567,69.22901873,69.38464148,69.3839653,69.18730011,68.97182139,68.85242343,68.83339612,68.88230874,68.97295745,69.05087427,69.15657595,69.33658489,69.80543446,70.15943662,70.62760892,70.94902864,71.17447964,71.64463141,72.09338444,72.55511086,73.04980563,73.41118457,73.70611312,73.99575539,74.39090672,74.90673556,75.75273255,76.54344196,77.35058063,78.67225964,80.37556631,82.84013125,83.30437501,84.50997256,85.59944768,86.82533575,88.05507885,88.98179883,90.09623225,90.58430382,91.36284939,91.52655999,91.84747538,92.06071607,92.20148879,92.16496703,92.03414125,91.95915718,91.95045587,92.00899467,92.07386378,92.10720828,92.11705012,92.10756577,92.1571037,92.44537096,92.72076133,92.9098692,93.10789489,93.15817672,93.2748381,93.61295438,93.95856201,94.30127421,94.71279831,94.96739567,95.20162401,95.40958869,95.54685483,95.66700583,95.8101838,95.95147015,96.18559106,96.48464341,96.76898009,97.04547408,97.25995269,97.48436846,97.81155076,98.29453789,98.62391936,99.01604839,99.24225811,99.49188103,99.82789729,100.1393902,100.4544763,100.5814849,100.5834313,100.5552271,100.4921434,100.4418287,100.3781933,100.2634508,100.1691315,100.1045765,100.0975791,100.1897371,100.2878748,100.2999495,100.3059524,100.2724839,100.2608707,100.2247221,100.202901,100.1987891,100.1823375,100.1921698,100.1645824,100.1114064,100,99.89001431,99.71721079,99.55027899,99.39429438,99.16479361,98.81599172,98.4829363,98.16108447,97.7519502,97.50138449,97.30977068,97.10677181,96.80787518,96.49408923,96.2401289,95.93088992,95.53383792,95.19499067,94.86271395,94.52501257,94.25584955,94.04054606,93.95997866,93.97816206
6대광역시,62.12176217,61.61393944,61.49953259,61.64279993,61.84261865,62.07043533,62.22634979,62.27518103,62.26549907,62.15036881,62.12908502,62.19671257,62.00220945,61.74492405,61.60982983,61.70750978,62.00240176,62.39966927,62.72961808,62.98402747,63.18556676,63.45344556,63.61341712,63.62098719,63.60602558,63.71812424,63.88667747,64.01435165,64.19113428,64.35536104,64.51498098,64.56963328,64.51991053,64.53214445,64.59442275,64.95622023,65.72655111,66.3489332,66.80664955,66.93413711,67.00134763,67.07585282,67.16159159,67.26669062,67.37502502,67.48981849,67.62346556,67.90649127,68.18925696,68.38216587,68.62593358,68.79435226,69.17046515,69.79988913,70.2509721,70.83406201,71.38249167,71.70700614,72.1423537,72.29901051,72.24851574,71.9682959,71.68093757,71.46056486,71.35006368,71.29852816,71.40044804,71.48411532,71.62272693,71.79848106,72.36589241,72.72176035,73.17859383,73.47265097,73.69581972,74.12476042,74.53609571,74.94980065,75.32566349,75.51783534,75.61142325,75.78737632,76.07129658,76.51966255,77.16053007,77.83461146,78.5151488,79.70327601,81.09731522,83.09689345,83.46739483,84.47573373,85.36652481,86.26880351,87.19049105,87.80109618,88.59880778,88.87086413,89.35903386,89.36362616,89.4908391,89.52855718,89.52299954,89.33937375,89.05122865,88.72800191,88.56673353,88.46496228,88.44921268,88.3870268,88.27631344,88.14516659,88.09356872,88.39121983,88.63457159,88.83534995,89.00328602,89.03340731,89.13804222,89.53111872,89.90506838,90.24600432,90.63550599,90.9220709,91.22523509,91.43831084,91.57585816,91.6863768,91.84635897,92.02082442,92.30134448,92.58263988,92.87920859,93.1529501,93.36746192,93.63250386,94.05026204,94.74866709,95.25328483,95.86088649,96.23540156,96.56751952,96.99472703,97.45010465,97.91122192,98.10062926,98.10652685,98.08750647,98.06506715,98.08073561,98.09541997,98.09142881,98.12149013,98.19922519,98.30402539,98.56162653,98.83784072,98.97397887,99.03889543,99.04424897,99.07914378,99.14639173,99.21297213,99.30824756,99.41582629,99.65970352,99.82200702,99.92890419,100,99.98242542,99.9690673,99.95898903,99.94594371,99.89450369,99.76870678,99.61361592,99.44366555,99.21055739,99.16719919,99.27370482,99.31874795,99.30911413,99.17855856,99.04827487,98.87947264,98.65026344,98.47251027,98.31858811,98.16701166,98.08458655,98.14112338,98.29486796,98.58662587
5대광역시,60.91545255,60.39555041,60.29207429,60.44256326,60.67048196,60.91616775,61.1121844,61.18898464,61.15285665,61.0878652,61.13401158,61.28110722,61.14854525,60.94788003,60.85937136,60.98105555,61.28239772,61.71278686,62.08099953,62.38620609,62.63343157,62.95268791,63.1717329,63.19848232,63.21121165,63.35626045,63.55872453,63.70103669,63.88588612,64.01201631,64.14606887,64.15397474,64.0619465,64.0310631,64.04851506,64.24726259,64.55077765,64.72363002,64.84402837,64.85695633,64.87633313,64.84295023,64.78851345,64.77514086,64.7100315,64.67196596,64.66328048,64.75058535,64.83402794,64.86801024,64.93367814,64.95919578,65.12792944,65.36076545,65.53372325,65.6900477,65.85297959,65.984285,66.19164319,66.27747757,66.24376012,66.05992728,65.81207374,65.65438899,65.60104045,65.59284289,65.71133941,65.80394157,65.96423288,66.15182478,66.7105506,67.0707422,67.58138986,67.94171493,68.20177788,68.71077474,69.18702788,69.71113904,70.21716916,70.52177675,70.74537809,71.02745106,71.41861445,71.97195535,72.77036471,73.58473077,74.40431231,75.82077232,77.4754237,79.87902182,80.33866507,81.60076078,82.75105972,83.89106165,85.08795876,85.92434544,86.98891452,87.36362454,88.00717703,88.07159214,88.27821503,88.37486121,88.46946454,88.36201513,88.14902198,87.9002894,87.82359191,87.84263751,87.9450236,88.01719906,88.06489522,88.03140035,88.05413147,88.38221892,88.66788776,88.92109787,89.15441934,89.22694119,89.33196456,89.65663301,90.02272137,90.39370051,90.80869558,91.08701282,91.31958209,91.53294898,91.67549667,91.80523955,91.98278251,92.15894522,92.42449215,92.71020303,93.0154793,93.32385743,93.55835497,93.83239828,94.24403267,94.93866549,95.43601701,96.03673527,96.40969556,96.748995,97.19106042,97.67247113,98.16243492,98.33663217,98.33345058,98.31201904,98.27316055,98.27364746,98.27510381,98.23183304,98.23026119,98.27077413,98.37149953,98.64623242,98.94088048,99.09188845,99.17717696,99.2057314,99.24288959,99.30979649,99.37391422,99.45432905,99.55715737,99.75863784,99.88268351,99.96332961,100,99.98142307,99.96728762,99.93391937,99.90811201,99.85088023,99.70997394,99.52211586,99.34784069,99.13733677,99.10487421,99.21970185,99.2305055,99.16632955,99.01693609,98.8823526,98.69160758,98.42017755,98.21906397,98.03226301,97.85853391,97.81438285,97.84225616,98.01312139,98.3106427
9개도,64.36475073,64.16148927,63.999042,64.18594027,64.43886839,64.67099653,64.66693526,64.55326827,64.439103,64.26234505,64.12855578,64.03568079,63.77304071,63.50392545,63.33915087,63.69460489,64.1333913,64.58198224,65.128458,66.07372179,66.87910863,67.18983026,67.37522166,67.44492848,67.45990637,67.55998838,67.8048358,68.25211013,68.81826272,69.53424774,70.57117283,71.1504466,71.42641599,71.66940258,72.19398652,73.62494157,77.02745069,78.90968798,80.01801496,80.47670716,80.72179691,80.90429838,80.89251454,80.97847845,81.17543153,81.40631648,81.68448462,82.01565846,82.24500358,82.43377852,82.69824858,82.97251777,83.54501695,84.584576,85.26556189,86.13384547,86.59781532,86.94000084,87.29069779,87.14291346,86.47243753,85.67637805,85.01968602,84.71135434,84.48208776,84.48897949,84.61231078,84.73665174,84.91968403,85.15624821,85.69240812,85.99081235,86.18549785,86.24565365,86.28514768,86.49661502,86.65733091,86.70322773,86.6082467,86.48552589,86.26907139,86.1326919,86.21065769,86.34498871,86.7301348,87.12082166,87.57728657,88.34774506,89.39959031,90.67970887,90.8975433,91.40796579,91.84865703,92.45300317,93.07105457,93.57513486,94.06860144,94.27259388,94.57773032,94.67270085,94.77260047,94.80836657,94.73211327,94.53110173,94.21490096,93.92524612,93.62272182,93.39188657,93.15811611,92.89165578,92.57399477,92.37063234,92.25221317,92.35361596,92.57835811,92.66065126,92.62767641,92.52261228,92.60855058,92.98557968,93.2510864,93.50058112,93.83858033,94.12265777,94.46533647,94.54593991,94.56883068,94.60431852,94.65978378,94.78853419,95.16392305,95.5142993,95.78024568,96.00115995,96.20551299,96.49439554,96.87210218,97.41280341,97.8103893,98.22085018,98.49537003,98.79226418,99.15738137,99.51962,99.81984069,99.9682254,99.99493025,99.98068393,99.92932687,99.88584929,99.85210787,99.82618979,99.78898791,99.76827573,99.77205187,99.85695216,99.93571476,99.91003625,99.88114063,99.83994266,99.83533565,99.82600786,99.83945436,99.8679014,99.92937062,100.044458,100.0517405,100.0454991,100,99.91047055,99.7760237,99.73805987,99.69226288,99.55523553,99.27674896,99.00859443,98.73032403,98.41857147,98.45033208,98.45557041,98.3597699,98.0754063,97.73743519,97.45556476,97.10163793,96.59937686,96.17408141,95.80507362,95.48541718,95.2371688,95.06651497,95.00958008,95.05989079
8개도,61.33241053,61.24193592,61.20730063,61.50729576,61.8502312,62.14313714,62.26746253,62.34636797,62.45772489,62.53889977,62.68522082,62.80399599,62.75642029,62.64732001,62.68085004,62.92495354,63.27114672,63.72552987,64.10868748,64.4423365,64.76348255,65.06366994,65.34102591,65.66569065,65.79859181,65.93432739,66.12794365,66.40615221,66.78196411,67.08866168,67.39816633,67.54794367,67.6342245,67.66096276,67.75755374,67.95692525,68.168089,68.33583853,68.48108046,68.58680064,68.62044433,68.74142812,68.76405756,68.78769233,68.82181359,68.83978711,68.90487758,69.00498333,69.13533265,69.29808784,69.4454084,69.58795452,69.75487733,70.27618659,70.50084029,71.07510799,71.43234312,71.7919167,72.24942111,72.49646421,72.54028389,72.32937632,72.16087799,72.09502459,72.12268661,72.24813931,72.29964185,72.35646048,72.38673807,72.55370664,72.89427047,73.23453037,73.63857155,73.9030224,74.0788007,74.49006923,74.89550683,75.26745517,75.73985181,76.17131419,76.55675668,76.85218936,77.24680661,77.70517263,78.60196119,79.3496729,80.1285471,81.30584038,83.04891258,85.55859406,86.02227134,87.1364258,88.13076403,89.4520188,90.70753649,91.73974485,92.90392081,93.53418037,94.44484993,94.70364806,95.13401554,95.45933163,95.64445128,95.67658533,95.62559993,95.71955486,95.77710219,95.87402645,95.90217348,95.88642465,95.84837917,95.85434873,95.92151219,96.16575014,96.42688044,96.55288405,96.71887569,96.75139431,96.8785153,97.22573739,97.55091276,97.86651946,98.27521913,98.50664007,98.74346404,98.94855023,99.08450218,99.19805422,99.31393407,99.42516538,99.63310837,99.9457415,100.2120998,100.4603995,100.6594482,100.838229,101.088801,101.3755235,101.5509459,101.7519623,101.8494199,102.0225734,102.2689523,102.4312737,102.5938059,102.6811132,102.6876193,102.6529191,102.565111,102.4673147,102.3434918,102.1628283,101.981484,101.8204543,101.7177799,101.6486704,101.5730176,101.4607091,101.3963813,101.3091354,101.2564272,101.1242622,101.008082,100.8809873,100.7423602,100.5722424,100.4111001,100.2412207,100,99.81038092,99.49380033,99.20675769,98.93145509,98.54225173,98.00489402,97.53713368,97.07788341,96.4936837,96.05884952,95.60980042,95.22337201,94.72460288,94.2696481,93.91806598,93.51463543,93.02813131,92.58044403,92.13885782,91.67592714,91.22674782,90.81735244,90.53684814,90.33774331
서울,61.63580891,61.16920578,60.9866426,61.35028933,61.67095466,62.07500487,62.19678835,62.07485985,61.89457926,61.52983627,61.34720553,61.11453708,60.83519119,60.58623819,60.43093779,61.04523871,61.3393951,62.02004518,62.58652357,63.74360839,64.86184974,65.20823028,65.34216964,65.25521446,65.44113634,65.75218905,66.27679097,66.92357597,68.01737301,69.46806798,70.80975199,71.3018195,71.52414696,71.74142241,72.2771169,73.84306046,78.19768184,81.17594327,83.05800182,83.63017928,83.95202837,84.26651185,84.2718418,84.48357693,84.84907268,85.15441066,85.55887665,85.93309681,86.51592379,86.86336627,87.50286626,88.13438246,89.70712298,91.94672892,93.33487736,94.67308069,95.39288308,95.61252933,95.83098895,95.54126695,94.68740303,93.04831969,92.19678745,92.02815383,91.78735269,92.09478766,92.28652013,92.67815991,93.46564091,93.9499991,95.01587,95.32825577,95.33594343,95.3342815,95.41064517,95.6564246,95.640901,95.54441518,95.11244844,94.7510041,94.29285883,93.85724132,93.61941717,93.44115747,93.32859937,93.3701735,93.50084764,93.76087816,93.89117081,93.90075037,93.93302611,93.82298163,93.67151965,93.58368606,93.46973549,93.34659362,93.17496449,93.0135875,92.76197662,92.52721385,92.12737949,91.60549404,91.10813302,90.38926409,89.77836814,88.97268933,88.37942954,87.8303963,87.388025,86.82946732,86.28619929,85.95202683,85.84651304,85.96432998,86.16691033,85.97684707,85.52043579,85.11470256,85.19201969,85.6432973,85.74662042,85.72009057,85.96991932,86.26336591,86.60172831,86.63230091,86.5573459,86.49620341,86.47329182,86.57278838,86.91968442,87.28969402,87.4131901,87.4254606,87.54666331,87.81679023,88.27049952,88.93752438,89.46874492,90.07775313,90.56457747,91.0677254,91.68523393,92.30305341,92.89916328,93.28969386,93.33261226,93.3334814,93.32817949,93.41863838,93.6161302,93.93360992,94.259086,94.62528455,94.99803267,95.65330713,96.19208782,96.31763467,96.34225583,96.40654543,96.56643382,96.83243814,97.27027804,98.23675372,98.73031972,99.32992037,99.31954463,99.57653442,100,100.8368275,102.1903027,103.6057995,104.399605,104.7893537,105.0234717,105.2486225,105.6067533,106.4743304,108.4374891,109.0658507,109.1228141,108.9385044,108.4926686,108.0936306,107.6648371,107.2955839,107.0817336,106.9837787,107.060368,107.2116184,107.4085347,108.0520022,108.7995834
서울 강북지역,60.01910693,59.80307307,59.73004024,59.93380871,60.10767123,60.40474076,60.51979489,60.51153097,60.39850059,60.17883642,60.05639751,59.89230058,59.71138408,59.49827562,59.34321132,59.47139601,59.64227489,59.8275451,60.03286354,60.12158562,60.68660261,61.10921252,61.34958049,61.4523875,61.47462479,61.55919345,61.74588631,62.06262838,62.41468547,62.96853082,63.50255116,63.85319202,64.01262182,64.24425507,64.62735932,65.79415345,69.36861677,73.02870646,75.53019444,76.35862291,76.76855735,77.44040166,77.6868825,78.05408282,78.58727497,79.04139339,79.69465534,80.37624709,81.45958847,82.11861529,83.2199974,84.30004508,87.01849268,90.87097385,93.16856995,95.36787436,96.59784429,97.11295021,97.61888495,97.58923642,97.19832636,95.99007882,95.35349663,94.74634952,94.36478756,94.31565655,94.29146788,94.52420469,95.13545672,95.50823086,96.38205346,96.71323217,96.73332307,96.75517391,96.76047273,96.83590716,96.81395267,96.7027341,96.25543527,95.84142219,95.40153808,94.96794761,94.67410689,94.4530235,94.32196202,94.28043571,94.31826145,94.4931286,94.61210458,94.64231568,94.69851057,94.63021427,94.54202408,94.42789387,94.31171827,94.2803885,94.18321125,94.07729717,93.83703525,93.72258528,93.45656872,93.06780107,92.60832137,92.09791402,91.67493976,91.25477125,90.89199444,90.41909109,89.8842682,89.40403626,88.99425554,88.58249244,88.29511779,88.08994487,88.123003,88.01694503,87.69307629,87.24679158,87.12978025,87.48085625,87.58551549,87.6752815,87.97913237,88.24100781,88.56847159,88.72233804,88.67396856,88.6306485,88.57048839,88.59519476,88.79322207,89.09407821,89.25581439,89.33588416,89.43784763,89.64579223,90.02041234,90.54312821,90.9407507,91.40387567,91.87083395,92.37934777,93.02637499,93.69620764,94.32085536,94.66714763,94.7203503,94.7752452,94.80363429,94.8698285,94.97418261,95.13648475,95.3555328,95.64825359,95.91459033,96.37027085,96.87906554,97.07153254,97.13640449,97.16214732,97.2454395,97.43483569,97.81764876,98.49900885,99.10011961,99.55982363,99.57782868,99.73601564,100,100.3852052,101.0114776,101.9487452,102.7118639,103.0625593,103.3897615,103.7807526,104.2342913,105.072497,106.6228478,107.3170011,107.5072631,107.4244419,107.1256557,106.8713084,106.5659475,106.2875971,106.1170229,106.0115408,106.0471683,106.1901273,106.4054295,106.9339826,107.4747797
서울 강북지역 도심권,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.3913965,99.31282784,98.88430155,98.77984805,98.61862282,98.10160526,97.77977119,97.26862527,96.58282251,95.91948585,95.32047542,94.97166167,94.73375431,94.60572477,94.2945257,93.67279287,93.58156508,93.44505645,92.98527865,92.41400555,92.22333894,92.14462328,92.07145623,92.03488608,91.86041878,91.65021171,91.61588432,91.5158451,91.4110793,91.32190413,91.29155333,91.25751201,91.35891494,91.56062542,91.69246303,91.69151946,91.71661428,91.88338016,92.14039842,92.47014653,92.67803913,92.90333707,93.10236998,93.2953008,93.51620083,93.83814873,94.10323933,94.28425858,94.33891421,94.3757517,94.4113474,94.50839073,94.62320823,94.81734556,95.09612898,95.40300158,95.63378435,96.00680844,96.37640906,96.54260571,96.67621354,96.73035892,96.9355806,97.22804726,97.54574146,98.15737401,98.69509609,99.35446537,99.45581925,99.65242568,100,100.3469139,101.3779709,103.4182199,104.6752164,105.3088468,105.8437431,106.3062675,106.9960948,108.5127453,109.9958849,110.6031283,110.763675,110.6914675,110.3465163,110.0823389,109.8130739,109.5712967,109.4293967,109.3289213,109.3656562,109.5410293,109.7778159,110.3065233,110.8741154
