지역,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
전국,71.74683871,70.79170338,70.26416491,70.1130022,70.03746349,69.87227976,69.66250079,69.19693131,68.79946794,68.39682915,68.05096197,67.65121505,67.08558846,66.59941942,66.29105971,66.30042216,66.32772138,66.45039996,66.48904465,66.62632049,66.93780136,67.05519834,67.25043633,67.21644893,67.15484427,67.19819769,67.37444115,67.53204411,67.85139146,68.22575292,68.66525113,69.14068315,69.39871067,69.75878258,70.33694347,71.47557345,73.74769484,75.31767187,76.63478469,77.42830176,78.07481242,78.65121746,79.09794726,79.69231219,80.40994108,80.94964538,81.89801782,82.70012625,83.43745493,83.91502139,84.73011014,85.35494978,87.06030703,88.06254679,89.36058873,90.88005212,92.14034191,93.110035,93.64411919,93.74008969,93.47446342,92.78851386,92.33745109,92.15719484,92.0921468,92.17445154,92.26980413,92.47957719,92.7234007,93.10789818,93.83027817,94.2503794,94.45500746,94.58648078,94.6895768,94.84699032,95.06710493,95.26578951,95.28745303,95.39376864,95.18958169,95.06382457,95.08256904,95.20260841,95.36452665,95.5033789,95.71604452,96.09910844,96.56420923,97.14900193,97.17042082,97.43113393,97.59200907,98.00390265,98.36764975,98.61717287,98.73276351,98.81666122,99.00899999,99.04054544,98.99925317,98.99777924,98.88632388,98.7858499,98.59996536,98.47180302,98.30218534,98.19702331,98.07623335,97.84355968,97.53157217,97.34781742,97.17206798,97.11176542,97.10650319,97.05728994,96.90621505,96.72178357,96.70413246,96.76955831,96.78369747,96.83482756,96.84703545,96.92528777,96.96071973,96.8756741,96.80625328,96.76951946,96.728504,96.72038007,96.75497535,96.82473448,96.87881102,96.89779617,96.96037705,97.03998098,97.19985822,97.36384201,97.54153567,97.73357441,97.90978549,98.03932716,98.20724232,98.37732384,98.55197963,98.61381212,98.67294786,98.67726126,98.67936659,98.69782506,98.7452362,98.77703867,98.80525932,98.85855866,98.90947295,98.96225031,98.99385728,99.022577,99.03375982,99.04516741,99.09149056,99.1653711,99.26899493,99.40284537,99.5513007,99.67997754,99.75946525,99.86260919,100,100.0805932,100.1665293,100.313262,100.3854514,100.4298383,100.4144516,100.4264686,100.4548677,100.5063024,100.6275972,100.7307886,100.7791629,100.7343237,100.6228918,100.5376063,100.4184054,100.2869878,100.1358751,99.98765011,99.86809797,99.77367389
수도권,65.55419436,64.8002318,64.35502534,64.27001442,64.25616354,64.14077179,63.93259972,63.46119931,63.06873715,62.7068211,62.32945063,61.89616554,61.37315639,60.95512938,60.64160346,60.70281088,60.79541871,60.95185203,61.02946028,61.1590138,61.60112747,61.71317402,61.99987193,62.02842439,62.00609119,62.12228254,62.39071628,62.61599168,62.97855986,63.49314149,64.10984428,64.75179332,65.10670963,65.63452738,66.34837534,67.89263506,70.89113225,73.04854732,74.87528326,75.9787196,76.90486099,77.79627582,78.52761227,79.36919585,80.36430551,81.09385393,82.45004582,83.5988469,84.70847212,85.47958059,86.69672489,87.57828877,89.97022382,91.3799475,93.24740663,95.43400321,97.18052793,98.56858665,99.37643428,99.55290431,99.19348814,98.3264801,97.73118823,97.5228689,97.42787901,97.52279852,97.62642842,97.92389601,98.28339375,98.73877981,99.61127412,100.1276149,100.3406128,100.3893935,100.4844284,100.666168,100.8376764,100.9433172,100.8448905,100.6918163,100.3505714,100.0527872,99.93177744,99.89336739,99.86131066,99.87754323,99.99405519,100.2332788,100.4984582,100.8628859,100.9492953,100.9944136,101.003841,101.3281376,101.3715634,101.4243367,101.3764842,101.2543274,101.2369697,101.2396149,101.0978643,101.0074645,100.8495024,100.6880102,100.4157085,100.215575,99.93954668,99.72489519,99.49708969,99.1256964,98.65301735,98.39145846,98.09212473,97.90958978,97.85769683,97.72699569,97.44786694,97.19114351,97.12083617,97.14460702,97.09369839,97.03869396,96.96566271,97.00618325,96.97958961,96.83240799,96.70358194,96.62606167,96.540479,96.49921733,96.4736753,96.51977988,96.54768104,96.50825892,96.54310967,96.58943819,96.74215241,96.90809377,97.1051251,97.31554764,97.49202452,97.62273646,97.78369137,97.96445796,98.14645941,98.22511857,98.2567185,98.24161405,98.24162824,98.24720105,98.29724064,98.34396633,98.38570953,98.44442148,98.49591116,98.55744165,98.59615838,98.64091482,98.64652746,98.65683325,98.71115954,98.8058406,98.94828924,99.12536586,99.32195357,99.50049651,99.63202325,99.78444705,100,100.1406158,100.2912085,100.5216377,100.6720392,100.786447,100.8386596,100.9145524,101.0275376,101.1872127,101.4410419,101.6686519,101.8468704,101.905305,101.8119508,101.7420383,101.6392779,101.5321379,101.4022745,101.2757612,101.1935898,101.1390919
지방권,88.02566323,86.48977431,85.73017315,85.38292165,85.12263317,84.81227434,84.6049046,84.17335805,83.77482027,83.26268833,83.0252399,82.74274271,82.06777847,81.39118923,81.11014054,80.9605667,80.7877523,80.80346537,80.72259458,80.87850547,80.7855296,80.91517294,80.83033192,80.61095544,80.43443524,80.2605485,80.15974233,80.11430913,80.2987257,80.25591108,80.17486398,80.16557202,80.14450094,80.02718241,80.21809288,80.22949517,80.54989709,80.60229045,80.64039092,80.67174635,80.64034847,80.46377148,80.2392787,80.25672418,80.33381569,80.43936222,80.46658999,80.49697021,80.41698874,80.2582864,80.21207223,80.29267475,80.56432919,80.72997166,80.87640439,81.07003327,81.37704653,81.53711599,81.5473291,81.49082933,81.40504912,81.06970187,80.89755557,80.77288118,80.76550254,80.8227901,80.90119059,80.94197836,80.96390221,81.20946432,81.6394114,81.87302203,82.05899988,82.34369685,82.46048016,82.56995648,82.87837528,83.2497668,83.49841713,84.0974038,84.15836448,84.36535895,84.65440966,85.08143643,85.6213914,86.00023716,86.40093081,87.06608386,87.92656738,88.95029605,88.84043239,89.53544187,90.00354182,90.59190861,91.61297335,92.26976303,92.72624692,93.2428711,93.93287387,94.02782989,94.20770458,94.40256137,94.39417766,94.42909344,94.43545326,94.46775921,94.53604372,94.6764484,94.79654276,94.87836524,94.93248353,94.92669215,95.03452304,95.25583812,95.35831899,95.49780668,95.64433136,95.62848034,95.73388554,95.89682198,96.06351086,96.36429229,96.57766709,96.74516674,96.92755268,96.99002653,97.06194263,97.12241919,97.18778387,97.25886845,97.43744784,97.56392922,97.68082477,97.84018192,97.96824017,98.12649719,98.30334801,98.46273788,98.59475678,98.74340956,98.91900484,99.04576413,99.2303328,99.37489804,99.53202499,99.55368317,99.67859207,99.72932033,99.73642615,99.78570615,99.8268343,99.82295187,99.81885285,99.85922474,99.90873511,99.94021138,99.95452214,99.94424744,99.96897075,99.98305641,100.0099211,100.0332571,100.0426385,100.0717123,100.1036847,100.1118882,100.065874,100.0503762,100,99.93276559,99.85980329,99.80136993,99.68236995,99.55602589,99.37620497,99.23319345,99.05681996,98.84707633,98.6498639,98.45534567,98.19437821,97.90451173,97.74970202,97.627551,97.46895581,97.27940146,97.07745945,96.87734283,96.66851061,96.47885254
6대광역시,75.7614342,74.44845307,73.50233216,73.15899991,72.79289359,72.62528292,72.30976542,71.85680989,71.53448681,71.0932783,70.77704669,70.23354341,69.55411107,69.00016092,68.62301052,68.41168018,68.37244075,68.54032512,68.38882806,68.40815423,68.3662385,68.41299151,68.38774295,68.1113758,67.99438543,67.96590048,68.07912409,68.03679198,68.1998822,68.56340844,68.71577678,69.11387242,69.23132063,69.70716943,69.97576185,70.34830086,71.20317774,72.10547514,72.99931482,73.62834379,74.18666287,74.69446784,75.4897994,76.4735761,77.03374064,77.52659412,78.44834791,79.25227281,80.12933067,80.73324915,81.49998639,81.68466667,83.16451626,83.65431758,85.30250135,86.74684718,88.60146383,90.27825936,91.19691189,91.37827734,91.64340524,91.46758745,91.03671838,90.93748661,90.84111029,90.79287039,90.83435668,91.13840549,91.05338271,91.29510681,91.95748697,92.19664762,92.42360012,92.59793182,92.67047798,92.76444044,92.95781889,93.20726634,93.32717748,93.64091039,93.64004486,93.76523747,93.78699468,94.10476428,94.4319251,94.67167067,94.95331872,95.53719697,96.14025046,97.2073164,96.96282853,97.4518612,97.75279667,97.90799241,98.25342749,98.62341258,98.87903387,99.00807171,99.29669455,99.30563506,99.26641577,99.41763048,99.20866741,98.95084469,98.73358073,98.55192749,98.24140659,98.10483488,98.01123457,97.78481705,97.55118021,97.41158637,97.17985448,97.2976599,97.29344384,97.34801893,97.30721485,97.14195001,97.11754815,97.10256859,97.16028042,97.30175585,97.13290917,97.12557409,97.10424389,97.08152519,97.09271315,97.07423172,97.07794235,97.12384003,97.21222116,97.37183007,97.43928428,97.4964518,97.55972322,97.67650979,97.85807185,97.99196815,98.1428205,98.278982,98.46943218,98.5913401,98.72596828,98.85958855,98.95310563,98.91348534,98.91961567,98.91258737,98.88104381,98.84457567,98.88668073,98.90404764,98.93567525,98.9956398,99.05940798,99.12782464,99.16905289,99.24454391,99.27261348,99.28345168,99.33393124,99.38853596,99.4829613,99.5579049,99.66611487,99.79807459,99.88533911,99.94823043,100,99.99148498,99.97384793,99.98469365,100.000426,99.98239425,99.90981437,99.87890645,99.81330543,99.73290841,99.70769007,99.72062763,99.77553066,99.88676747,99.78510722,99.72130403,99.62249752,99.48580011,99.40390239,99.31877592,99.2112878,99.14147265
5대광역시,86.56343245,84.79391089,83.63990775,83.35193224,83.17468661,83.0171068,82.73789155,82.39536097,82.0116441,81.52124462,81.43753437,81.20821641,80.76057331,80.11231482,79.83032913,79.61618895,79.58106771,79.59778347,79.54955758,79.54962184,79.43569587,79.5746219,79.44971265,79.04437791,78.84066348,78.80856205,78.64040971,78.62198678,78.77180946,79.0079437,79.09284284,79.09968641,78.96258242,78.99096933,79.3909233,79.51779238,79.90791744,79.85592765,79.85278003,79.85808744,79.80603414,79.76504117,79.78638419,79.79551352,79.95186015,80.03537385,80.00447095,79.94684013,79.90986581,79.91353093,79.83205595,79.89886124,80.22755079,80.324366,80.44981436,80.53432119,80.77227298,80.78289549,80.73575881,80.69445832,80.66574804,80.35773773,80.31294632,80.36026502,80.32728763,80.45047483,80.5938384,80.62098101,80.60371549,80.79424823,81.30066362,81.56216414,81.82044675,82.10040008,82.15200888,82.25454397,82.56756508,83.01938864,83.27200521,83.75370599,83.88584161,84.114981,84.3887516,84.94879215,85.48258628,85.87522506,86.32816968,87.06696308,87.92390865,89.53346466,89.23323495,90.08582248,90.53948262,91.11768341,91.91177482,92.77109719,93.42390796,93.8191547,94.32573122,94.34449982,94.44022891,94.63143992,94.50845665,94.39730716,94.31258943,94.27942752,94.30939099,94.43652243,94.58873371,94.71550559,94.78472021,94.80646622,94.87752593,95.05226302,95.09559218,95.22100533,95.36336754,95.32417795,95.40519109,95.54767653,95.61613353,95.91333378,96.070354,96.22979628,96.4005251,96.40000573,96.48166361,96.52062346,96.6084538,96.7210225,96.8626745,96.99748422,97.12979507,97.23726842,97.34318794,97.50551156,97.66731727,97.76320109,97.9008667,98.04624311,98.27552257,98.40428645,98.57118331,98.7610562,98.8581941,98.76775685,98.81162758,98.84006712,98.84176543,98.89490647,98.95913844,98.9661418,99.00599867,99.06711277,99.16321484,99.26229097,99.31372501,99.36988633,99.4418689,99.47977107,99.53630476,99.60630056,99.71725709,99.82389177,99.93074283,99.99628669,99.97757317,99.99584654,100,99.96041427,99.93403283,99.92578632,99.90218964,99.81891476,99.71879955,99.6573678,99.57185352,99.47964237,99.40968606,99.30620079,99.14956644,99.02557499,98.91038729,98.8290821,98.72735673,98.60319085,98.52088286,98.42852492,98.32461819,98.22627826
9개도,72.56637901,71.47907399,70.97287363,70.79670007,70.74493626,70.5878115,70.38527217,69.89153887,69.38813962,68.98698682,68.71328636,68.48075978,67.80919211,67.31805301,67.08982132,67.20166815,67.25347068,67.49739192,67.60706197,67.90120513,68.42642457,68.60634992,68.87590245,68.88316475,68.74871829,68.74329346,68.94815882,69.11989652,69.55517301,69.93265806,70.46994086,70.89860048,71.25692905,71.62287196,72.11794599,73.55464871,76.77779407,78.87760408,80.22685452,81.0231987,81.664297,82.09696163,82.31208785,82.65481747,83.2098133,83.64493608,84.3040942,84.85068788,85.45019414,85.62659829,86.06029502,86.68040878,87.91878278,88.80867642,89.61410987,90.96502421,91.91163913,92.53674289,92.67268334,92.57180245,92.12472082,91.51792457,91.12715682,90.84618898,90.83924491,91.09034836,91.27599072,91.41200282,91.57548923,91.9464726,92.41305542,92.75828545,92.85952778,92.99638404,93.12827887,93.25503711,93.48948213,93.7220437,93.73862458,93.88056116,93.54500076,93.4172043,93.50284079,93.57883378,93.76657362,93.9420478,94.15280424,94.56587255,95.11192769,95.65536777,95.64967502,95.92725239,96.11464174,96.61304425,97.23939835,97.50615765,97.62665177,97.82638857,98.19649442,98.26393383,98.35723225,98.39373241,98.39343807,98.36342034,98.19331654,98.14140871,98.15687194,98.1008298,98.0331668,97.84684702,97.61147806,97.42067035,97.28411458,97.27343007,97.32236425,97.39414608,97.29264441,97.19086461,97.22244483,97.30283869,97.33550324,97.42392864,97.54205834,97.67406679,97.78529422,97.70841162,97.59933508,97.59420408,97.55136822,97.54870288,97.56221197,97.63425426,97.66915721,97.69147745,97.77832721,97.85571905,98.021072,98.1609323,98.30773041,98.47797471,98.62986974,98.74342692,98.91124778,99.07007243,99.24201236,99.30594083,99.40208899,99.41820083,99.42749012,99.4507769,99.48781177,99.49761261,99.48475378,99.49860056,99.5031142,99.49444288,99.50638388,99.4964775,99.49244091,99.49056345,99.50301249,99.51932289,99.53656704,99.59340541,99.67812338,99.76467362,99.83100685,99.90858528,100,100.0136117,100.023114,100.0623022,100.0353998,100.0108295,99.92187753,99.83145416,99.75742307,99.67065916,99.66595907,99.67313707,99.62215949,99.39956797,99.26046981,99.15433045,99.0106633,98.84201412,98.6191329,98.39947766,98.22177068,98.03781806
8개도,89.51960117,88.23507671,87.90186886,87.49074777,87.14086284,86.66591872,86.536226,86.00910949,85.59498322,85.05992759,84.65745365,84.31817799,83.40081738,82.69453459,82.41468815,82.33407366,82.01468719,82.02932287,81.91380325,82.23554142,82.16499274,82.28463039,82.24263565,82.2225787,82.07541787,81.74962411,81.72106122,81.64670945,81.86805982,81.52715748,81.26982223,81.24342961,81.34554821,81.07368822,81.04366188,80.93359488,81.18065803,81.34260742,81.42406993,81.48282724,81.47320316,81.15412134,80.67242348,80.69853886,80.69295959,80.82141011,80.90924934,81.03157165,80.90666907,80.57873825,80.56925491,80.66419128,80.87633527,81.11356423,81.28180009,81.58926715,81.96838992,82.28517965,82.35571626,82.28325074,82.13750457,81.77362168,81.46803248,81.1637595,81.1830752,81.17165942,81.18243527,81.2373908,81.30007702,81.60284073,81.95295451,82.15745142,82.26824688,82.55773344,82.74215106,82.85879101,83.16227985,83.44997717,83.69439755,84.41492699,84.4018904,84.58580018,84.89057589,85.17954015,85.72562223,86.0900212,86.43650659,87.02532876,87.88906803,88.31201052,88.39639681,88.93025358,89.41283516,90.01127396,91.26383967,91.71323147,91.96961006,92.60945207,93.54009504,93.71079159,93.97446072,94.17294861,94.27894178,94.46004159,94.55778256,94.65588342,94.76272201,94.91648604,95.00425465,95.03964286,95.06978274,95.02720627,95.16473932,95.42701298,95.58772202,95.74339259,95.8931589,95.90278716,96.03248211,96.21482122,96.48058166,96.7851179,97.05651568,97.23245756,97.4286122,97.55731893,97.6198192,97.7045683,97.747442,97.77589867,97.99386508,98.11232381,98.21245211,98.42700764,98.57622811,98.73181735,98.92456979,99.14868435,99.27059462,99.4218715,99.5441263,99.66990909,99.87353712,99.9735087,100.1932622,100.3297078,100.5380862,100.612211,100.6242449,100.6698421,100.6871643,100.6714802,100.6226463,100.6421966,100.6463545,100.611793,100.5897043,100.5126327,100.4905095,100.4811501,100.479145,100.4567827,100.3658112,100.3184227,100.276101,100.2271602,100.153633,100.1042619,100,99.9058464,99.78738322,99.68090066,99.46983988,99.30143003,99.04405904,98.82354728,98.55989162,98.23774332,97.91919637,97.63703972,97.27653261,96.82961893,96.63776983,96.47775175,96.266351,96.01842147,95.70983972,95.41092308,95.10869138,94.83870533
서울,67.54639653,67.02173529,66.7878737,66.81438621,66.93395155,66.76113475,66.62469526,66.18430722,65.85817367,65.48420658,65.02822284,64.53754786,64.18930702,63.76251861,63.41077442,63.46762902,63.51711527,63.45779358,63.55894695,63.59929926,63.93071482,64.02856684,64.30836007,64.4170771,64.48716963,64.64660025,64.83852978,65.13935954,65.44420363,65.82315436,66.37648154,66.97096431,67.22188323,67.4801728,68.41173758,69.82080626,72.13228669,73.63321343,75.27364197,76.20462244,76.93286811,77.7419825,78.1653837,78.72782948,79.78039058,80.48899738,81.81793234,82.93674682,83.7234925,84.46944161,85.81178465,86.83344244,89.34383449,90.95709842,92.58345423,94.39294343,95.52824931,96.31926458,97.04173066,97.32619898,96.83235777,95.58999302,95.04074876,94.92441087,94.8090353,94.78012022,94.80224504,95.02758271,95.66795311,96.19653825,97.31600386,97.99826588,98.32299498,98.40869732,98.49986926,98.75544644,98.9797434,99.08680911,99.0276387,98.90107883,98.69449937,98.34985169,98.27564385,98.28111208,98.26337462,98.26481308,98.41977367,98.58788288,98.82524542,99.05001586,99.33583972,99.37786973,99.38361958,99.90035498,99.93235436,100.0562725,100.0461496,99.93961985,99.83918469,99.84260624,99.62306057,99.44378125,99.26891533,99.20855906,99.02843665,98.84584789,98.55399078,98.41147938,98.19899727,97.90137262,97.42145452,97.2055268,97.02217612,96.74606967,96.66948899,96.38145424,96.07541395,95.77140251,95.69675783,95.8087612,95.76164439,95.69099195,95.71922409,95.800828,95.78892332,95.64191893,95.55548627,95.46483574,95.38950717,95.33036709,95.34693711,95.34025089,95.40681087,95.3903259,95.42058762,95.47367612,95.60940847,95.82818535,96.06498006,96.32949562,96.52606737,96.6825285,96.87717168,97.09093101,97.3338261,97.47359297,97.52740747,97.52573707,97.54492042,97.60059189,97.66538269,97.73662099,97.8149777,97.91388249,98.01549907,98.1365444,98.18651205,98.22906521,98.24691647,98.27606974,98.36354676,98.52764575,98.75132147,99.03175001,99.29497633,99.47638458,99.56717094,99.73517434,100,100.2355581,100.4999527,100.8916649,101.1378338,101.3210886,101.4466689,101.6283805,101.8655267,102.2035538,102.6076019,102.9102097,103.08844,103.1645024,103.0837297,103.010874,102.909812,102.8348852,102.7320192,102.6348094,102.5881597,102.6012007
서울 강북지역,68.24225795,67.78111668,67.71525402,67.54177556,67.62717595,67.34062555,66.95983079,66.58558482,66.24724647,65.88384993,65.37503657,64.91116679,64.53128402,64.09427959,63.72990552,63.8554301,64.01421954,63.76989698,63.85171261,63.73471416,63.80117204,63.81905648,63.89977667,64.02891014,64.12878171,64.12627563,64.26504338,64.34173763,64.56771796,64.81605891,64.99568578,65.37812431,65.77572792,65.98635848,67.14078421,68.68016117,70.74975957,72.26384479,73.63664413,74.43378738,75.36083879,76.11984694,76.6600637,77.14659078,78.14698802,78.74373161,79.73940923,80.61388301,81.45300341,82.49943494,84.33050923,85.1740663,87.78125819,89.14951433,91.13080278,93.46759151,94.401479,94.77405176,96.0298211,96.45859248,95.62344406,94.73623106,94.3420583,94.34505922,94.2515419,94.35715289,94.47236806,94.67138494,95.44130446,95.94099342,96.85160612,97.51473849,97.89752052,98.00137933,98.1689594,98.41471925,98.70124145,98.74625075,98.6966345,98.5275073,98.37573468,98.02593879,97.87687555,97.91030007,97.85307304,97.8381769,97.87142402,97.91455185,98.19355755,98.53329788,98.62331066,98.68947704,98.68696113,99.37461483,99.24849251,99.18953642,99.16910878,98.99516737,98.95910295,98.97582582,98.80095792,98.58419453,98.45884932,98.52774554,98.34981966,98.25684424,97.94474511,97.87644426,97.68844963,97.49720306,97.11690335,96.95249131,96.70891963,96.34548024,96.27376336,96.054884,95.75499976,95.43797409,95.2788624,95.50328859,95.48533343,95.49412118,95.50741795,95.62204179,95.61815565,95.54307497,95.51195451,95.46274518,95.39558105,95.34775415,95.39300828,95.37079082,95.43001514,95.41627174,95.40686876,95.48149037,95.5965854,95.77992795,95.9565576,96.22675191,96.40564957,96.57284622,96.77846391,97.01624792,97.28637273,97.44961955,97.52653906,97.55132052,97.59158383,97.6662246,97.74166029,97.82386835,97.92607322,98.04030049,98.15161979,98.27009713,98.31294968,98.38757701,98.43388395,98.46816427,98.5752537,98.75007918,98.9030156,99.11354072,99.35390373,99.4660691,99.60200625,99.74669113,100,100.2407286,100.5066018,100.8649694,101.1493739,101.3575318,101.5271162,101.7896454,102.0598739,102.4875853,102.9947855,103.3934363,103.6697933,103.8346158,103.8105166,103.7785273,103.7152435,103.6752915,103.5642799,103.4722317,103.4412395,103.4453371
서울 강북지역 도심권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95.91325014,95.91325014,95.70075008,95.65329067,95.6770916,95.6836426,95.6882044,95.64897138,95.50890705,95.32849173,95.23544548,95.11696004,95.0911538,95.06987321,95.04669021,95.07561021,95.02885002,94.57867617,94.43686455,94.32447012,94.20472734,94.28944762,94.37922871,94.38148735,94.388045,94.25416331,94.26856936,94.3627352,94.42041208,94.39256056,94.41056703,94.44490336,94.44490336,94.51966171,94.56682181,94.55693269,94.62436674,94.6470125,94.67152113,94.80661172,95.01074837,95.52549333,95.62892957,95.80012668,95.87239919,96.10895907,96.34679073,96.39721461,96.46408318,96.47900319,96.50359101,96.57792158,96.6510005,96.75703619,96.83269238,96.97611179,97.14230213,97.30274281,97.41337648,97.57138387,97.66228759,97.77232661,97.88822584,98.12524824,98.38889104,98.74935292,99.10667845,99.25957032,99.52752046,99.69557712,100,100.1900585,100.5223029,101.0906269,101.5283021,101.7846635,101.9893308,102.2249375,102.5000664,102.9665089,103.3585053,103.84614,103.9487613,104.2391601,104.1248605,104.0296087,103.9762561,103.900165,103.7312854,103.5599682,103.5612356,103.5375321
