지역,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
전국,68.61770423,68.07208499,67.72462345,67.82715032,67.93718869,68.04133902,68.02014942,67.83622125,67.64855839,67.37597129,67.20791587,67.03634937,66.69586848,66.3868826,66.19957208,66.39032584,66.63781838,67.00322865,67.33878464,67.85493746,68.37633785,68.62742877,68.80163909,68.79341398,68.78168057,68.89525111,69.11091003,69.39434874,69.83952422,70.41354076,71.06587375,71.42468722,71.60058242,71.77279834,72.22795926,73.21306026,75.41825408,76.87106107,77.86195317,78.3164826,78.61220035,78.86046087,79.02007094,79.23245866,79.53938996,79.78926051,80.18877621,80.62447347,81.06871491,81.34071144,81.73134244,82.10134586,82.96953023,83.9648025,84.76162843,85.73714229,86.3713705,86.76765984,87.19907403,87.19937806,86.78727714,86.10994818,85.63771894,85.44184107,85.30427483,85.35353504,85.45205105,85.61773112,85.85542262,86.12944512,86.73262027,87.05551101,87.26914191,87.39670384,87.50793414,87.73575443,87.92952188,88.08311056,88.10462875,88.103138,87.96439094,87.87569361,87.93293218,88.08310267,88.36924532,88.67062463,89.03459295,89.65747955,90.43733964,91.46832106,91.60572966,92.03300374,92.39785982,92.84615157,93.31052951,93.65104052,93.98418295,94.11182103,94.3421702,94.34891779,94.36873581,94.31372403,94.22812259,94.02325449,93.77346176,93.50991583,93.28988736,93.11281469,92.96155513,92.764103,92.52606429,92.36670625,92.29456969,92.40341226,92.5626589,92.59472406,92.52974838,92.40893841,92.4518895,92.71708388,92.8974767,93.04713815,93.26845778,93.45713561,93.6735205,93.73399773,93.75355597,93.77085685,93.80442286,93.89062813,94.11524091,94.34157801,94.50406982,94.63725032,94.77322723,94.96452148,95.25399544,95.66186193,95.98252866,96.34522859,96.61730859,96.8750203,97.19120698,97.5098691,97.81139026,97.95946572,98.0024557,98.00282145,97.99855057,98.01601043,98.04909773,98.0886439,98.13181322,98.20083848,98.27787138,98.44166071,98.59131566,98.65584989,98.67280092,98.68751711,98.74303093,98.83897665,98.98069542,99.19034871,99.36918789,99.6150627,99.73882257,99.86974539,100,100.1135134,100.2572744,100.4547851,100.579029,100.6351214,100.6097929,100.5874969,100.5673973,100.591129,100.9023323,101.0936358,101.2218877,101.2160857,101.0672793,100.9494633,100.7876911,100.5793051,100.4184254,100.2896301,100.1986513,100.1497045
수도권,65.72721357,65.24828338,64.96216098,65.09478176,65.26861897,65.42772823,65.36539276,65.11442524,64.85952658,64.4873715,64.2076376,63.90715383,63.5027549,63.16242315,62.92298642,63.21806156,63.48052361,63.85311969,64.20566553,64.95145086,65.70575615,65.96700139,66.1421073,66.09766407,66.11514463,66.26546627,66.5678657,66.96944415,67.5706582,68.44333668,69.47770947,70.10119795,70.42787452,70.77412739,71.52134683,73.18567995,77.10420993,79.7568503,81.57621135,82.40592255,82.95738945,83.43815573,83.77784549,84.2028204,84.80472158,85.28864349,86.05601149,86.8250955,87.61362882,88.0902763,88.80487751,89.45880158,91.01806301,92.73624906,94.18480886,95.88270836,96.98428009,97.63932583,98.30977181,98.21870726,97.435465,96.29540017,95.54365512,95.24069762,94.99930084,95.06741184,95.20130458,95.46406754,95.87534036,96.27704996,97.10573446,97.47367683,97.55071702,97.50733373,97.54220149,97.65624215,97.69405343,97.61806659,97.27459628,96.94685351,96.44991157,96.04975889,95.86415043,95.74828474,95.69562909,95.72570116,95.84759599,96.11932625,96.4242902,96.65600218,96.69821994,96.67825627,96.63461333,96.68982402,96.69788309,96.68032535,96.59968949,96.48215825,96.33125076,96.2367278,96.00689295,95.72100418,95.41448455,94.99924116,94.54987269,94.03492893,93.55893341,93.13962973,92.77158609,92.3099157,91.813641,91.48520776,91.27952104,91.2802982,91.39553327,91.3213961,91.05197929,90.78859002,90.79239725,91.09058688,91.21874665,91.27450398,91.45409498,91.68146291,91.95305082,91.93354416,91.87000812,91.82513896,91.79985768,91.87248442,92.15480014,92.40347698,92.54597027,92.61634804,92.73414148,92.95981883,93.31307549,93.82843015,94.24827482,94.7011808,95.03407986,95.34534541,95.71375116,96.11700765,96.47428088,96.66568769,96.70160922,96.70024446,96.69750245,96.73143945,96.81766817,96.9587554,97.09272055,97.24745826,97.38983446,97.6432501,97.86702733,97.93948691,97.94873433,97.96703612,98.04355478,98.18667856,98.38985556,98.73484065,99.01950088,99.40089416,99.55509206,99.7505998,100,100.2535024,100.6132133,101.0722668,101.3746437,101.5626035,101.6594074,101.7512527,101.859438,102.1031587,102.8179021,103.2465871,103.5003909,103.5737054,103.4234067,103.2863422,103.1034081,102.8643028,102.6886432,102.5851169,102.5695992,102.6146361
지방권,72.66460621,72.02887733,71.59911522,71.66270172,71.68992274,71.72328249,71.75532127,71.65765782,71.55674182,71.41309003,71.39062826,71.38799264,71.13075634,70.86225745,70.74345769,70.79667483,71.02520072,71.382338,71.69662581,71.91337593,72.13460222,72.37369565,72.54753441,72.58608293,72.53653423,72.60316904,72.70808516,72.84092145,73.08858763,73.2863618,73.46272811,73.49485862,73.48574301,73.44533814,73.5473837,73.72473061,73.96078725,74.08772032,74.18619792,74.24242118,74.26857578,74.27309427,74.2447388,74.23629376,74.23859661,74.24818295,74.27253366,74.37076795,74.4688991,74.53628204,74.60472898,74.69400043,74.8852058,75.18101982,75.35525974,75.64804407,75.84472623,75.99969603,76.20834562,76.29149696,76.22158547,75.97523914,75.76532078,75.67032996,75.63033195,75.6616789,75.72654051,75.80075826,75.87572283,76.02947865,76.41964497,76.69822548,77.03581188,77.32039086,77.50156347,77.83343183,78.17131504,78.53910279,78.90504782,79.21394552,79.41918397,79.63155781,79.92453488,80.33427796,80.95330569,81.52327619,82.12846361,83.10417292,84.36682952,86.22423501,86.46124527,87.35924263,88.15852118,89.02925656,89.98895077,90.72185462,91.51234089,91.9127331,92.49529067,92.59215627,92.83491565,92.98712439,93.10072114,93.08643135,93.01819919,92.98436489,92.9994044,93.0459083,93.09568555,93.14643969,93.15235093,93.15344558,93.20843006,93.419246,93.62039831,93.75395556,93.88508059,93.90159914,93.98226927,94.21544065,94.44607793,94.68633192,94.94783625,95.09893804,95.26181358,95.39954066,95.49952303,95.57708502,95.66490345,95.76420108,95.93268217,96.13718966,96.31890688,96.51283298,96.66632609,96.82410678,97.05154534,97.35515224,97.57989719,97.85548941,98.07071494,98.27842563,98.54590321,98.78582101,99.03550982,99.14335975,99.19289798,99.19486868,99.18918052,99.19135816,99.17519602,99.12078591,99.08010068,99.07010187,99.08703386,99.16851146,99.25020458,99.30747589,99.33148287,99.34291372,99.37918796,99.43195119,99.51747697,99.60363573,99.68613724,99.80892733,99.90508599,99.97749723,100,99.98678128,99.93570164,99.89829435,99.86319611,99.80167412,99.66767828,99.54405052,99.41032183,99.23982223,99.19671324,99.18079142,99.19978432,99.12529558,98.97784644,98.87681833,98.73352024,98.55195076,98.40399977,98.25325666,98.0966891,97.96616153
6대광역시,69.27312872,68.54907593,68.13058369,68.15042222,68.22081857,68.27791748,68.26964018,68.12462696,68.01020223,67.77569279,67.68221975,67.60324846,67.26025382,66.95575407,66.76917459,66.76404746,66.96370698,67.29331707,67.56313117,67.7337038,67.90515287,68.12161609,68.26882433,68.198731,68.17866166,68.25402097,68.39331009,68.47997436,68.70943439,68.9688821,69.15310658,69.29144657,69.2914109,69.38325182,69.56673604,69.90888864,70.57654484,71.15430565,71.63891188,71.84632766,72.00225171,72.14331606,72.3927595,72.59315581,72.78613145,72.9363102,73.18262065,73.53233814,73.93422209,74.19082469,74.45185579,74.63511456,75.11915758,75.58403719,76.20021604,76.85169068,77.52633473,78.02383683,78.56093851,78.68171443,78.61732334,78.34647182,78.06345489,77.91088486,77.80700892,77.75909134,77.83548002,77.96489319,78.05291087,78.22866171,78.72794336,79.05745713,79.39160508,79.62973358,79.81254697,80.12795377,80.41902765,80.76979422,81.06157743,81.22116448,81.28716554,81.41514701,81.61056575,81.98585051,82.47494337,82.95939556,83.46949793,84.36719508,85.4238245,86.96651523,87.11201608,87.90198594,88.55815756,89.17167549,89.88093007,90.38539677,90.96120354,91.17833491,91.54806215,91.54804887,91.63468319,91.67678369,91.64885131,91.49569509,91.2641348,91.02500553,90.87787907,90.79345639,90.77399683,90.69130618,90.58581481,90.46559221,90.40005751,90.64082687,90.80628186,90.94822152,91.06096968,91.05853236,91.11458602,91.38843106,91.65991218,91.90729004,92.1522386,92.34667589,92.55302414,92.70147079,92.79585703,92.86003801,92.96234925,93.09064978,93.3017552,93.53128444,93.7414724,93.95156393,94.11032661,94.3176833,94.64300894,95.14145401,95.52033738,95.98098907,96.3151469,96.60483759,96.9609919,97.32186684,97.67605645,97.79520152,97.80616197,97.80106891,97.80157631,97.82303757,97.85738929,97.87289759,97.90964061,97.99163081,98.08732771,98.28253311,98.4869739,98.62496102,98.68195893,98.71008302,98.7685481,98.86583833,98.98901747,99.12430273,99.27561711,99.53836153,99.73181183,99.88373041,100,100.0394767,100.0714008,100.1056842,100.1513463,100.1742932,100.1395474,100.0987518,100.0378286,99.94126523,100.0131408,100.1876112,100.3613059,100.4882935,100.4409713,100.3976848,100.3206573,100.2075035,100.1350161,100.0827957,100.0244304,100.0183899
5대광역시,70.13855468,69.38900841,68.96307099,69.01166629,69.13033395,69.19452591,69.2188758,69.10794471,68.97408017,68.77684832,68.76740151,68.80884774,68.54090612,68.27704564,68.13588321,68.15319201,68.3704747,68.73908869,69.09066332,69.31174653,69.52922045,69.76080649,69.94039152,69.87418088,69.86063411,69.96258579,70.08996455,70.19102864,70.43524003,70.65658599,70.81191615,70.86278126,70.80736648,70.79370296,70.90937323,71.10459154,71.3949804,71.52351828,71.64844022,71.65536384,71.67743993,71.65308352,71.63900318,71.62444524,71.61414474,71.59445934,71.57928385,71.66844252,71.77915839,71.82141852,71.86279304,71.93440735,72.09183786,72.28681684,72.42991597,72.57141178,72.71026726,72.81408685,72.93221254,72.97488533,72.89643515,72.66654998,72.45562024,72.36019673,72.29539887,72.28765503,72.3822511,72.46540168,72.58349789,72.74954229,73.20315257,73.50813881,73.88230453,74.18271078,74.3911507,74.76377438,75.10534914,75.55872993,75.95850705,76.19485791,76.36364133,76.57639695,76.8759242,77.34970873,77.96735084,78.56457852,79.19024528,80.25212824,81.50562007,83.37803563,83.57422293,84.58109352,85.43651556,86.26349497,87.20908957,87.92284828,88.72746242,89.04767943,89.54201823,89.58514726,89.75614313,89.84279683,89.90691273,89.82718873,89.66699289,89.49855446,89.4483009,89.47727101,89.56802516,89.64539712,89.69250543,89.67294627,89.70975301,89.97808033,90.1903701,90.38070076,90.55818369,90.59409781,90.66681121,90.92585568,91.1907163,91.48092511,91.787118,91.99846156,92.17329137,92.33041528,92.44152401,92.53098956,92.66049672,92.80933634,93.02209824,93.25721385,93.48773454,93.73881045,93.92315371,94.14821086,94.46549779,94.9724282,95.35703962,95.83089492,96.18101615,96.49084286,96.87927359,97.27713374,97.66877718,97.77923664,97.79104505,97.79204908,97.79348498,97.82060477,97.85173193,97.84362276,97.86402795,97.92708259,98.02655603,98.24495348,98.47127118,98.62610383,98.70775091,98.76105005,98.82395832,98.93094069,99.06613284,99.20820056,99.36315007,99.59989515,99.76663027,99.90339489,100,100.0460987,100.0856887,100.1075031,100.1471242,100.1709985,100.1345634,100.0788071,100.0231949,99.94932186,100.0399033,100.2203185,100.3569064,100.4260664,100.3764995,100.335604,100.2519026,100.1200853,100.0365737,99.96866788,99.90420968,99.92740996
9개도,70.63389288,70.17172459,69.77564509,69.85193124,69.90259407,69.97912266,69.91679678,69.69190159,69.4480465,69.19381223,69.00536702,68.82315623,68.44507063,68.1296947,67.94381265,68.17593021,68.48993159,68.85812215,69.22602944,69.88125277,70.51684334,70.78966296,70.94417539,70.9727694,70.87688326,70.94921139,71.12981722,71.45538326,71.8979728,72.46292398,73.29357863,73.72674492,73.97630015,74.17243602,74.68526376,75.92123253,78.72186975,80.41168397,81.46670257,81.99697668,82.28437507,82.4987021,82.56229846,82.69111132,82.93162158,83.18353316,83.50586025,83.88323825,84.18584184,84.35706717,84.60281825,84.92856588,85.64095631,86.58287747,87.20898667,88.13189088,88.61903591,88.91995294,89.2424974,89.15430386,88.58591339,87.89793745,87.36669895,87.09646977,86.93430051,86.97499167,87.08169404,87.19075078,87.33877826,87.57644047,88.04117473,88.29241401,88.45894395,88.53994401,88.58805962,88.74923636,88.92276401,89.00230545,88.94046309,88.92465551,88.71809616,88.59356914,88.65611834,88.75746389,89.05136547,89.34080341,89.69118022,90.29546985,91.13653477,92.21838153,92.35691522,92.73150047,93.09148262,93.58148562,94.10565037,94.4997824,94.86112388,95.04507409,95.34018811,95.39819624,95.49606444,95.52779065,95.50890576,95.36673697,95.16850154,94.99806341,94.82255023,94.66919516,94.51556527,94.34359779,94.11187675,93.96951679,93.89058751,93.953599,94.11656197,94.17662382,94.13270082,94.04054287,94.09041405,94.33959801,94.51710257,94.67927559,94.89440254,95.07284356,95.30023959,95.34119425,95.35310974,95.3771154,95.4027693,95.48382597,95.71754941,95.94237925,96.10807941,96.25005076,96.39551714,96.58279721,96.8431915,97.18602801,97.45146362,97.73284349,97.9485651,98.16192008,98.42490599,98.68380913,98.91577874,99.03605104,99.09458134,99.097064,99.0850877,99.08121784,99.07772351,99.07081629,99.05700303,99.05997434,99.07042463,99.1364295,99.19803006,99.21651965,99.21057948,99.20646528,99.23628717,99.28824533,99.3684706,99.45850966,99.57340012,99.74294835,99.84875446,99.93722487,100,99.99602585,99.96367491,100.0014933,100.0260817,100.0128443,99.9133974,99.81628887,99.70442404,99.59120749,99.71800117,99.81194315,99.88946321,99.80449869,99.62541754,99.49538045,99.31472756,99.06005329,98.84438419,98.65664629,98.50438385,98.37833758
8개도,74.54387271,74.07046892,73.64424893,73.72593442,73.63508836,73.62867914,73.66989694,73.59086356,73.53367283,73.460866,73.42227224,73.36370741,73.12473774,72.85523617,72.76701405,72.86492562,73.10357647,73.4395849,73.70076807,73.90807667,74.13005587,74.37433462,74.53775845,74.70842398,74.61408264,74.63473605,74.70930633,74.87998059,75.12754183,75.29189494,75.49170596,75.49954198,75.54922105,75.47567263,75.55862758,75.71006087,75.87295503,75.99556045,76.05878697,76.17641357,76.20726256,76.24830435,76.20236204,76.20182054,76.22006583,76.2666254,76.34074529,76.44872391,76.5290694,76.62715755,76.72879108,76.83890244,77.06961762,77.48863426,77.69944979,78.18061806,78.44790941,78.66577492,78.9871726,79.11996496,79.06209481,78.79934508,78.5944583,78.50171407,78.49380333,78.57408257,78.60012652,78.66170921,78.68080094,78.81629303,79.11951483,79.35992964,79.64558245,79.9052931,80.04908198,80.32409352,80.65148501,80.90593894,81.22339893,81.61747814,81.86470581,82.07293414,82.35267521,82.67550386,83.28565606,83.81197736,84.38141279,85.23375976,86.48649572,88.29419593,88.57764297,89.32639417,90.0433789,90.95345909,91.91458821,92.65888193,93.41895822,93.91119637,94.56414406,94.69798374,94.99021502,95.18763555,95.33538828,95.36625584,95.36156983,95.42096423,95.48131706,95.54000554,95.56134144,95.58812855,95.55867834,95.56832063,95.63014666,95.79733784,95.98810776,96.08012909,96.1792575,96.18431751,96.27088287,96.48553651,96.69238129,96.89862405,97.12975585,97.23919159,97.39528212,97.52083571,97.61538766,97.68595266,97.74833818,97.81570334,97.95571919,98.13938207,98.28920584,98.44535063,98.57966395,98.6928542,98.86126095,99.02883748,99.14696707,99.29087023,99.41488176,99.55411989,99.74091429,99.87394215,100.0283823,100.1356582,100.2117334,100.2138755,100.2019751,100.1862668,100.136758,100.0495311,99.96486795,99.90328403,99.86362541,99.85181088,99.83421026,99.82407627,99.80811979,99.79140687,99.81019196,99.8238554,99.8663582,99.88897282,99.91261567,99.95180453,99.99925153,100.0279506,100,99.94628587,99.83073398,99.75088843,99.66227274,99.53807249,99.33471786,99.16103347,98.96905473,98.73119719,98.5996924,98.45254232,98.39081826,98.22101326,98.00655552,97.8666051,97.68624486,97.48128387,97.29502712,97.09653321,96.8837183,96.65437322
서울,63.47685544,63.02062798,62.85074808,63.10276581,63.3655587,63.57722567,63.61207848,63.45244147,63.27207196,62.92149844,62.69606063,62.42732402,62.1599369,61.85992632,61.67126313,62.03670453,62.22548794,62.62776703,62.98686987,63.69717908,64.46599993,64.72114992,64.96380529,64.97137624,65.12040215,65.35668572,65.7337076,66.19960566,66.93316394,67.94217694,68.90095311,69.42336347,69.70569962,69.94371664,70.66667089,72.08698486,75.38881923,77.68221855,79.30517721,79.98750905,80.50940607,80.9839044,81.185088,81.57253446,82.17914888,82.57639979,83.35851938,84.03532328,84.81526034,85.30455544,86.18038789,86.93068796,88.71577365,90.66960789,92.09795755,93.7021863,94.55791627,94.97262783,95.44290839,95.42753877,94.77315679,93.46017942,92.80966429,92.70169811,92.56292621,92.78868286,92.90453019,93.24536299,93.91436628,94.42275832,95.48023715,95.93782884,96.046174,96.08623586,96.21071596,96.430664,96.50260746,96.4855794,96.24042956,96.00643166,95.68096507,95.31906034,95.14174615,95.03170065,94.97416445,95.00642822,95.16350526,95.38668482,95.60116254,95.73325786,95.85455177,95.83689326,95.77197652,95.88622015,95.86488659,95.85496281,95.77573582,95.66122807,95.50476993,95.36827918,95.05315618,94.59310865,94.22311387,93.75581192,93.32740379,92.7548921,92.29648535,91.9128699,91.57338934,91.12115503,90.65630906,90.37937809,90.30595321,90.34355684,90.47806429,90.26459457,89.87847609,89.5060709,89.51036991,89.80771434,89.8636985,89.83671164,90.04170469,90.25152386,90.45385247,90.44394521,90.380161,90.31242569,90.27252472,90.31634865,90.53810202,90.76436005,90.85175998,90.85175325,90.93036265,91.11295384,91.43905613,91.90949545,92.31039943,92.77245394,93.1224471,93.46714544,93.88562456,94.32212161,94.7548268,95.02976511,95.07521303,95.07661268,95.08573431,95.15901054,95.29745724,95.50980236,95.72910598,95.97342965,96.22408591,96.63813976,96.97223148,97.06394648,97.08833806,97.14049935,97.27107575,97.49587745,97.83836348,98.4857483,98.88845732,99.33546669,99.4069053,99.63772162,100,100.5927151,101.4567015,102.4113027,102.9717769,103.2930072,103.5139805,103.7544016,104.0853246,104.7421862,106.0480368,106.5881927,106.8065989,106.8481445,106.6299997,106.4320137,106.1992917,106.0105703,105.8991482,105.8589603,105.9323033,106.0793123
서울 강북지역,62.83296621,62.52356836,62.49094162,62.609589,62.76462032,62.87916948,62.82959604,62.78555451,62.65126672,62.37664137,62.18812952,61.98137705,61.76764853,61.49300589,61.31161874,61.42629211,61.5830166,61.68012268,61.86939214,61.98840191,62.38255513,62.68747726,62.95332943,63.08397234,63.17035278,63.22174641,63.4287593,63.62343686,63.96482984,64.50606699,64.89133937,65.26606268,65.58775334,65.84310024,66.52837665,67.70557519,70.4262889,73.05605324,74.91857162,75.72486621,76.35734159,76.99033166,77.3763216,77.85654009,78.48186488,78.91209219,79.76111841,80.51531335,81.63976227,82.38550066,83.69373462,84.60751687,86.94731533,89.49453942,91.48960577,93.75904509,94.76495125,95.18978939,95.91151146,96.09864723,95.60506853,94.67528483,94.2181727,93.93938863,93.7766051,93.92622041,93.95447631,94.17892657,94.78245546,95.24370471,96.11585414,96.62855193,96.7521497,96.81170148,96.95562212,97.08806419,97.17638471,97.13105889,96.89793661,96.64699585,96.37246914,96.03211232,95.79929968,95.67829324,95.60395297,95.58413488,95.62259334,95.74674796,95.98061127,96.10975816,96.14824191,96.17847976,96.16149824,96.32134561,96.24230407,96.23195212,96.19009086,96.07523911,95.95531744,95.89641848,95.63721562,95.29976306,94.98697433,94.70061573,94.4382225,94.14966292,93.83347954,93.52502959,93.1592604,92.81711798,92.48029921,92.1860387,92.04487939,91.84940052,91.90035694,91.74625244,91.44788411,91.03359375,90.87849893,91.11380887,91.1617916,91.23742572,91.43518301,91.63686784,91.82808858,91.90729396,91.88664236,91.85677736,91.7918504,91.7968653,91.93033322,92.10021073,92.20577402,92.24227913,92.28191769,92.4301605,92.69250707,93.04956567,93.32907165,93.69480219,94.01240542,94.34610854,94.75469927,95.20850221,95.63546879,95.88005535,95.93898796,95.97605875,96.01166212,96.07663054,96.16363592,96.29069311,96.45176421,96.64998022,96.83690515,97.1234804,97.42375329,97.5582224,97.61358806,97.64847749,97.74327629,97.92845119,98.20673005,98.65986155,99.09957648,99.43311343,99.55395224,99.72989393,100,100.3589464,100.8147167,101.4883053,102.0451954,102.358227,102.6508923,103.0099797,103.3991922,104.0615098,105.1418227,105.744667,106.0996605,106.2656739,106.1667984,106.0863185,105.9545045,105.8412762,105.767706,105.737378,105.796543,105.947896
서울 강북지역 도심권,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.99791272,96.96684016,96.67229014,96.61607583,96.54804447,96.34617677,96.198862,95.8806576,95.56931327,95.22649313,94.92446168,94.77981478,94.67164341,94.61140608,94.4551345,94.21270562,94.13328243,93.84942237,93.61019202,93.33876816,93.22419983,93.22974449,93.22728189,93.21234839,93.14201973,93.07417066,93.06537132,93.04979315,93.03241165,93.01822307,93.01483565,93.01307876,93.07267292,93.19524147,93.28316483,93.27371864,93.32207985,93.40502602,93.56425346,93.75448016,93.94087515,94.24514484,94.46186283,94.63270577,94.78580634,95.02141164,95.25304016,95.35607743,95.42071207,95.44647522,95.47621357,95.54747269,95.63660165,95.79829278,95.99552203,96.22059216,96.44219514,96.66658506,96.87902505,97.03515229,97.14172088,97.23506523,97.41544546,97.67726698,97.95697784,98.42393855,98.86244899,99.27448538,99.47580071,99.68098406,100,100.3717179,101.0085131,102.236657,103.0301707,103.4814123,103.8888987,104.2880207,104.8236038,105.8319016,106.8783845,107.5999572,108.0233854,108.3723011,108.2990384,108.2090692,108.1304858,108.0631665,108.0229713,108.0152335,108.1064411,108.2632345
