,LotFrontage,LotArea,Street,LotShape,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,YrSold,haspool,has2ndfloor,hasgarage,hasbsmt,hasfireplace,SimplOverallQual,SimplOverallCond,SimplPoolQC,SimplGarageCond,SimplGarageQual,SimplFireplaceQu,SimplFunctional,SimplKitchenQual,SimplHeatingQC,SimplBsmtFinType1,SimplBsmtFinType2,SimplBsmtCond,SimplBsmtQual,SimplExterCond,SimplExterQual,LotArea-log,Street-log,LotShape-log,LandSlope-log,OverallCond-log,YearBuilt-log,YearRemodAdd-log,MasVnrArea-log,ExterQual-log,ExterCond-log,BsmtQual-log,BsmtCond-log,BsmtExposure-log,BsmtFinSF1-log,BsmtFinType2-log,BsmtFinSF2-log,BsmtUnfSF-log,TotalBsmtSF-log,HeatingQC-log,1stFlrSF-log,2ndFlrSF-log,LowQualFinSF-log,GrLivArea-log,BsmtFullBath-log,BsmtHalfBath-log,HalfBath-log,KitchenAbvGr-log,TotRmsAbvGrd-log,Functional-log,Fireplaces-log,GarageYrBlt-log,GarageCond-log,PavedDrive-log,WoodDeckSF-log,OpenPorchSF-log,EnclosedPorch-log,3SsnPorch-log,ScreenPorch-log,PoolArea-log,PoolQC-log,MiscVal-log,haspool-log,hasgarage-log,hasbsmt-log,SimplOverallCond-log,SimplPoolQC-log,SimplGarageCond-log,SimplGarageQual-log,SimplFunctional-log,SimplHeatingQC-log,SimplBsmtFinType1-log,SimplBsmtFinType2-log,SimplBsmtCond-log,SimplExterCond-log,SimplExterQual-log,MSSubClass_SC120,MSSubClass_SC150,MSSubClass_SC160,MSSubClass_SC180,MSSubClass_SC190,MSSubClass_SC20,MSSubClass_SC30,MSSubClass_SC40,MSSubClass_SC45,MSSubClass_SC50,MSSubClass_SC60,MSSubClass_SC70,MSSubClass_SC75,MSSubClass_SC80,MSSubClass_SC85,MSSubClass_SC90,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,Alley_1,Alley_2,Alley_None,LandContour_Bnk,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Artery,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Artery,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Flat,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,Exterior1st_AsbShng,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsbShng,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Other,Exterior2nd_Plywood,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,CentralAir_N,CentralAir_Y,Electrical_FuseA,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_No,GarageFinish_Fin,GarageFinish_No,GarageFinish_RFn,GarageFinish_Unf,Fence_GdPrv,Fence_GdWo,Fence_MnPrv,Fence_MnWw,Fence_No,MiscFeature_Gar2,MiscFeature_No,MiscFeature_Othr,MiscFeature_Shed,MiscFeature_TenC,MoSold_Apr,MoSold_Aug,MoSold_Dec,MoSold_Feb,MoSold_Jan,MoSold_Jul,MoSold_Jun,MoSold_Mar,MoSold_May,MoSold_Nov,MoSold_Oct,MoSold_Sep,SaleType_COD,SaleType_CWD,SaleType_Con,SaleType_ConLD,SaleType_ConLI,SaleType_ConLw,SaleType_New,SaleType_Oth,SaleType_WD,SaleCondition_Abnorml,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial
0,65.0,8450.0,2.0,4.0,3.0,7.0,5.0,2003.0,2003.0,196.0,4.0,3.0,4.0,3.0,0.0,6.0,706.0,1.0,0.0,150.0,856.0,5.0,856.0,854.0,0.0,1710.0,1.0,0.0,2.0,1.0,3.0,1.0,4.0,8.0,8.0,0.0,0.0,2003.0,2.0,548.0,3.0,3.0,2.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,8.875007486048396,0.0,0.0,0.0,1.6094379124341003,2.0794415416798357,2.0794415416798357,5.2832037287379885,1.0986122886681098,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.0,6.561030665896573,0.6931471805599453,0.0,5.017279836814924,6.75343791859778,0.0,6.259581464064923,6.75110146893676,0.0,7.227662498728654,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,1.9459101490553132,0.0,0.0,5.3230099791384085,1.0986122886681098,0.0,0.0,4.127134385045092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,80.0,9600.0,2.0,4.0,3.0,6.0,8.0,1976.0,1976.0,0.0,3.0,3.0,4.0,3.0,3.0,5.0,978.0,1.0,0.0,284.0,1262.0,5.0,1262.0,0.0,0.0,1262.0,0.0,1.0,2.0,0.0,3.0,1.0,3.0,6.0,8.0,1.0,3.0,1976.0,2.0,460.0,3.0,3.0,2.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,9.024131268455035,0.0,0.0,0.0,2.0794415416798357,3.5553480614894135,3.5553480614894135,0.0,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.3862943611198906,6.88653164253051,0.6931471805599453,0.0,5.652489180268651,7.141245122350491,0.0,6.834108738813838,0.0,0.0,6.834108738813838,0.0,0.6931471805599453,0.0,0.6931471805599453,1.6094379124341003,0.0,0.6931471805599453,5.44673737166631,1.0986122886681098,0.0,5.700443573390687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2,68.0,11250.0,2.0,3.0,3.0,7.0,5.0,2001.0,2002.0,162.0,4.0,3.0,4.0,3.0,1.0,6.0,486.0,1.0,0.0,434.0,920.0,5.0,920.0,866.0,0.0,1786.0,1.0,0.0,2.0,1.0,3.0,1.0,4.0,6.0,8.0,1.0,3.0,2001.0,2.0,608.0,3.0,3.0,2.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,9.205428327615163,0.0,0.6931471805599453,0.0,1.6094379124341003,2.302585092994046,2.1972245773362196,5.093750200806762,1.0986122886681098,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,6.18826412308259,0.6931471805599453,0.0,6.075346031088684,6.825460036255307,0.0,6.375024819828097,6.7650389767805414,0.0,7.2813856635702825,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,1.6094379124341003,0.0,0.6931471805599453,5.332718793265369,1.0986122886681098,0.0,0.0,3.7612001156935624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,60.0,9550.0,2.0,3.0,3.0,7.0,5.0,1915.0,1970.0,0.0,3.0,3.0,3.0,4.0,0.0,5.0,216.0,1.0,0.0,540.0,756.0,4.0,961.0,756.0,0.0,1717.0,1.0,0.0,1.0,0.0,3.0,1.0,4.0,7.0,8.0,1.0,4.0,1998.0,3.0,642.0,3.0,3.0,2.0,0.0,35.0,272.0,0.0,0.0,0.0,0.0,0.0,2006.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,9.018089684104343,0.0,0.6931471805599453,0.0,1.6094379124341003,4.564348191467836,3.713572066704308,0.0,0.6931471805599453,1.0986122886681098,1.0986122886681098,0.0,0.0,5.37989735354046,0.6931471805599453,0.0,6.293419278846481,6.6293632534374485,0.6931471805599453,6.4425401664681985,6.6293632534374485,0.0,7.232733136177615,0.6931471805599453,0.0,0.0,0.6931471805599453,1.791759469228055,0.0,0.6931471805599453,5.3471075307174685,1.0986122886681098,0.0,0.0,3.58351893845611,5.60947179518496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
4,84.0,14260.0,2.0,3.0,3.0,8.0,5.0,2000.0,2000.0,350.0,4.0,3.0,4.0,3.0,2.0,6.0,655.0,1.0,0.0,490.0,1145.0,5.0,1145.0,1053.0,0.0,2198.0,1.0,0.0,2.0,1.0,4.0,1.0,4.0,9.0,8.0,1.0,3.0,2000.0,3.0,836.0,3.0,3.0,2.0,192.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,9.469700127423375,0.0,0.6931471805599453,0.0,1.6094379124341003,2.3978952727983707,2.3978952727983707,5.860786223465865,1.0986122886681098,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0986122886681098,6.486160788944089,0.6931471805599453,0.0,6.19644412779452,7.044032897274685,0.0,6.699500340161678,6.960347729101308,0.0,7.5310163320779155,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,2.0794415416798357,0.0,0.6931471805599453,5.337538079701318,1.0986122886681098,0.0,5.262690188904886,4.442651256490317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5,85.0,14115.0,2.0,3.0,3.0,5.0,5.0,1993.0,1995.0,0.0,3.0,3.0,4.0,3.0,0.0,6.0,732.0,1.0,0.0,64.0,796.0,5.0,796.0,566.0,0.0,1362.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,5.0,8.0,0.0,0.0,1993.0,2.0,480.0,3.0,3.0,2.0,40.0,30.0,0.0,320.0,0.0,0.0,0.0,700.0,2009.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,9.458449669308141,0.0,0.6931471805599453,0.0,1.6094379124341003,2.8903717578961645,2.772588722239781,0.0,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.0,6.597145701886651,0.6931471805599453,0.0,4.174387269895637,6.680854678790215,0.0,6.137727054086234,6.340359303727752,0.0,6.9363427358340495,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,1.3862943611198906,0.0,0.0,5.3706380281276624,1.0986122886681098,0.0,3.713572066704308,3.4339872044851463,0.0,5.771441123130016,0.0,0.0,0.0,6.55250788703459,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
6,75.0,10084.0,2.0,4.0,3.0,8.0,5.0,2004.0,2005.0,186.0,4.0,3.0,5.0,3.0,2.0,6.0,1369.0,1.0,0.0,317.0,1686.0,5.0,1694.0,0.0,0.0,1694.0,1.0,0.0,2.0,0.0,3.0,1.0,4.0,7.0,8.0,1.0,4.0,2004.0,2.0,636.0,3.0,3.0,2.0,255.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,9.080801000621198,0.0,0.0,0.0,1.6094379124341003,1.9459101490553132,1.791759469228055,5.231108616854587,1.0986122886681098,1.0986122886681098,0.0,0.6931471805599453,1.0986122886681098,7.222566018822171,0.6931471805599453,0.0,5.762051382780177,7.430707082545968,0.0,7.215975002651466,0.0,0.0,7.215975002651466,0.6931471805599453,0.0,0.0,0.6931471805599453,1.791759469228055,0.0,0.6931471805599453,5.318119993844216,1.0986122886681098,0.0,5.545177444479562,4.060443010546419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7,0.0,10382.0,2.0,3.0,3.0,7.0,6.0,1973.0,1973.0,240.0,3.0,3.0,4.0,3.0,1.0,5.0,859.0,4.0,32.0,216.0,1107.0,5.0,1107.0,983.0,0.0,2090.0,1.0,0.0,2.0,1.0,3.0,1.0,3.0,7.0,8.0,2.0,3.0,1973.0,2.0,484.0,3.0,3.0,2.0,235.0,204.0,228.0,0.0,0.0,0.0,0.0,350.0,2009.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,9.114159813502214,0.0,0.6931471805599453,0.0,1.791759469228055,3.6375861597263857,3.6375861597263857,5.484796933490655,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,0.6931471805599453,6.756932389247553,1.6094379124341003,3.4965075614664802,5.37989735354046,7.010311867307229,0.0,6.651571873589727,6.891625897052253,0.0,7.471363088187097,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,1.791759469228055,0.0,1.0986122886681098,5.459585514144159,1.0986122886681098,0.0,5.4638318050256105,5.3230099791384085,5.43372200355424,0.0,0.0,0.0,0.0,5.860786223465865,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,1.0986122886681098,0.6931471805599453,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
8,51.0,6120.0,2.0,4.0,3.0,7.0,5.0,1931.0,1950.0,0.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,952.0,952.0,4.0,1022.0,752.0,0.0,1774.0,0.0,0.0,2.0,0.0,2.0,2.0,3.0,8.0,7.0,2.0,3.0,1931.0,2.0,468.0,2.0,3.0,2.0,90.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,8.480736654405622,0.0,0.0,0.0,1.6094379124341003,4.382026634673881,4.110873864173311,0.0,0.6931471805599453,1.0986122886681098,1.0986122886681098,0.6931471805599453,0.0,0.0,0.6931471805599453,0.0,6.859614903654202,6.859614903654202,0.6931471805599453,6.535241271013659,6.6240652277998935,0.0,7.273092595999522,0.0,0.0,0.0,1.0986122886681098,1.9459101490553132,0.6931471805599453,1.0986122886681098,5.6240175061873385,1.0986122886681098,0.0,4.51085950651685,0.0,5.327876168789581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
9,50.0,7420.0,2.0,4.0,3.0,5.0,6.0,1939.0,1950.0,0.0,3.0,3.0,3.0,3.0,0.0,6.0,851.0,1.0,0.0,140.0,991.0,5.0,1077.0,0.0,0.0,1077.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,5.0,8.0,2.0,3.0,1939.0,1.0,205.0,4.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,8.71948076085107,0.0,0.0,0.0,1.791759469228055,4.276666119016055,4.110873864173311,0.0,0.6931471805599453,1.0986122886681098,1.0986122886681098,0.6931471805599453,0.0,6.747586526829315,0.6931471805599453,0.0,4.948759890378168,6.899723107284872,0.0,6.612041034833092,0.0,0.0,6.612041034833092,0.6931471805599453,0.0,0.0,1.0986122886681098,1.3862943611198906,0.0,1.0986122886681098,5.594711379601839,1.0986122886681098,0.0,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
