구분,죄종,발생검거,검거,date
중부,살인,발생,2.0,2011-01-01
중부,살인,검거,3.0,2011-01-01
중부,강도,발생,14.0,2011-01-01
중부,강도,검거,19.0,2011-01-01
중부,강간,발생,89.0,2011-01-01
중부,강간,검거,60.0,2011-01-01
중부,절도,발생,1266.0,2011-01-01
중부,절도,검거,457.0,2011-01-01
중부,폭력,발생,1622.0,2011-01-01
중부,폭력,검거,1369.0,2011-01-01
종로,살인,발생,6.0,2011-01-01
종로,살인,검거,5.0,2011-01-01
종로,강도,발생,16.0,2011-01-01
종로,강도,검거,12.0,2011-01-01
종로,강간,발생,80.0,2011-01-01
종로,강간,검거,82.0,2011-01-01
종로,절도,발생,1001.0,2011-01-01
종로,절도,검거,534.0,2011-01-01
종로,폭력,발생,1296.0,2011-01-01
종로,폭력,검거,1090.0,2011-01-01
남대문,살인,발생,1.0,2011-01-01
남대문,살인,검거,2.0,2011-01-01
남대문,강도,발생,7.0,2011-01-01
남대문,강도,검거,9.0,2011-01-01
남대문,강간,발생,62.0,2011-01-01
남대문,강간,검거,50.0,2011-01-01
남대문,절도,발생,984.0,2011-01-01
남대문,절도,검거,461.0,2011-01-01
남대문,폭력,발생,1043.0,2011-01-01
남대문,폭력,검거,895.0,2011-01-01
서대문,살인,발생,6.0,2011-01-01
서대문,살인,검거,6.0,2011-01-01
서대문,강도,발생,26.0,2011-01-01
서대문,강도,검거,23.0,2011-01-01
서대문,강간,발생,174.0,2011-01-01
서대문,강간,검거,145.0,2011-01-01
서대문,절도,발생,1879.0,2011-01-01
서대문,절도,검거,702.0,2011-01-01
서대문,폭력,발생,1962.0,2011-01-01
서대문,폭력,검거,1604.0,2011-01-01
혜화,살인,발생,2.0,2011-01-01
혜화,살인,검거,2.0,2011-01-01
혜화,강도,발생,20.0,2011-01-01
혜화,강도,검거,16.0,2011-01-01
혜화,강간,발생,98.0,2011-01-01
혜화,강간,검거,75.0,2011-01-01
혜화,절도,발생,941.0,2011-01-01
혜화,절도,검거,425.0,2011-01-01
혜화,폭력,발생,1464.0,2011-01-01
혜화,폭력,검거,1287.0,2011-01-01
용산,살인,발생,13.0,2011-01-01
용산,살인,검거,13.0,2011-01-01
용산,강도,발생,47.0,2011-01-01
용산,강도,검거,36.0,2011-01-01
용산,강간,발생,172.0,2011-01-01
용산,강간,검거,153.0,2011-01-01
용산,절도,발생,1592.0,2011-01-01
용산,절도,검거,555.0,2011-01-01
용산,폭력,발생,2454.0,2011-01-01
용산,폭력,검거,1967.0,2011-01-01
성북,살인,발생,5.0,2011-01-01
성북,살인,검거,3.0,2011-01-01
성북,강도,발생,10.0,2011-01-01
성북,강도,검거,8.0,2011-01-01
성북,강간,발생,99.0,2011-01-01
성북,강간,검거,59.0,2011-01-01
성북,절도,발생,904.0,2011-01-01
성북,절도,검거,425.0,2011-01-01
성북,폭력,발생,1274.0,2011-01-01
성북,폭력,검거,1066.0,2011-01-01
동대문,살인,발생,14.0,2011-01-01
동대문,살인,검거,11.0,2011-01-01
동대문,강도,발생,72.0,2011-01-01
동대문,강도,검거,69.0,2011-01-01
동대문,강간,발생,222.0,2011-01-01
동대문,강간,검거,196.0,2011-01-01
동대문,절도,발생,2046.0,2011-01-01
