구분,죄종,발생검거,건수,date
중부,살인,발생,0.0,2013-01-01
중부,살인,검거,0.0,2013-01-01
중부,강도,발생,6.0,2013-01-01
중부,강도,검거,7.0,2013-01-01
중부,강간,발생,128.0,2013-01-01
중부,강간,검거,91.0,2013-01-01
중부,절도,발생,1540.0,2013-01-01
중부,절도,검거,477.0,2013-01-01
중부,폭력,발생,1454.0,2013-01-01
중부,폭력,검거,1264.0,2013-01-01
종로,살인,발생,2.0,2013-01-01
종로,살인,검거,1.0,2013-01-01
종로,강도,발생,5.0,2013-01-01
종로,강도,검거,5.0,2013-01-01
종로,강간,발생,117.0,2013-01-01
종로,강간,검거,95.0,2013-01-01
종로,절도,발생,1114.0,2013-01-01
종로,절도,검거,409.0,2013-01-01
종로,폭력,발생,1235.0,2013-01-01
종로,폭력,검거,1089.0,2013-01-01
남대문,살인,발생,1.0,2013-01-01
남대문,살인,검거,1.0,2013-01-01
남대문,강도,발생,10.0,2013-01-01
남대문,강도,검거,7.0,2013-01-01
남대문,강간,발생,65.0,2013-01-01
남대문,강간,검거,46.0,2013-01-01
남대문,절도,발생,1047.0,2013-01-01
남대문,절도,검거,438.0,2013-01-01
남대문,폭력,발생,989.0,2013-01-01
남대문,폭력,검거,884.0,2013-01-01
서대문,살인,발생,8.0,2013-01-01
서대문,살인,검거,7.0,2013-01-01
서대문,강도,발생,13.0,2013-01-01
서대문,강도,검거,11.0,2013-01-01
서대문,강간,발생,206.0,2013-01-01
서대문,강간,검거,166.0,2013-01-01
서대문,절도,발생,2087.0,2013-01-01
서대문,절도,검거,807.0,2013-01-01
서대문,폭력,발생,1973.0,2013-01-01
서대문,폭력,검거,1674.0,2013-01-01
혜화,살인,발생,2.0,2013-01-01
혜화,살인,검거,1.0,2013-01-01
혜화,강도,발생,6.0,2013-01-01
혜화,강도,검거,3.0,2013-01-01
혜화,강간,발생,89.0,2013-01-01
혜화,강간,검거,55.0,2013-01-01
혜화,절도,발생,1356.0,2013-01-01
혜화,절도,검거,634.0,2013-01-01
혜화,폭력,발생,1175.0,2013-01-01
혜화,폭력,검거,1017.0,2013-01-01
용산,살인,발생,4.0,2013-01-01
용산,살인,검거,5.0,2013-01-01
용산,강도,발생,23.0,2013-01-01
용산,강도,검거,13.0,2013-01-01
용산,강간,발생,182.0,2013-01-01
용산,강간,검거,153.0,2013-01-01
용산,절도,발생,1547.0,2013-01-01
용산,절도,검거,547.0,2013-01-01
용산,폭력,발생,2125.0,2013-01-01
용산,폭력,검거,1709.0,2013-01-01
성북,살인,발생,3.0,2013-01-01
성북,살인,검거,2.0,2013-01-01
성북,강도,발생,5.0,2013-01-01
성북,강도,검거,4.0,2013-01-01
성북,강간,발생,91.0,2013-01-01
성북,강간,검거,75.0,2013-01-01
성북,절도,발생,1375.0,2013-01-01
성북,절도,검거,398.0,2013-01-01
성북,폭력,발생,1274.0,2013-01-01
성북,폭력,검거,1049.0,2013-01-01
동대문,살인,발생,9.0,2013-01-01
동대문,살인,검거,10.0,2013-01-01
동대문,강도,발생,21.0,2013-01-01
동대문,강도,검거,10.0,2013-01-01
동대문,강간,발생,199.0,2013-01-01
동대문,강간,검거,154.0,2013-01-01
동대문,절도,발생,2130.0,2013-01-01
동대문,절도,검거,554.0,2013-01-01
동대문,폭력,발생,2531.0,2013-01-01
동대문,폭력,검거,2163.0,2013-01-01
마포,살인,발생,3.0,2013-01-01
마포,살인,검거,3.0,2013-01-01
마포,강도,발생,20.0,2013-01-01
마포,강도,검거,13.0,2013-01-01
마포,강간,발생,262.0,2013-01-01
마포,강간,검거,183.0,2013-01-01
마포,절도,발생,2387.0,2013-01-01
마포,절도,검거,662.0,2013-01-01
마포,폭력,발생,2740.0,2013-01-01
마포,폭력,검거,2226.0,2013-01-01
영등포,살인,발생,14.0,2013-01-01
영등포,살인,검거,12.0,2013-01-01
영등포,강도,발생,21.0,2013-01-01
영등포,강도,검거,20.0,2013-01-01
영등포,강간,발생,260.0,2013-01-01
영등포,강간,검거,185.0,2013-01-01
영등포,절도,발생,3200.0,2013-01-01
영등포,절도,검거,912.0,2013-01-01
영등포,폭력,발생,3368.0,2013-01-01
영등포,폭력,검거,2733.0,2013-01-01
성동,살인,발생,2.0,2013-01-01
성동,살인,검거,1.0,2013-01-01
성동,강도,발생,8.0,2013-01-01
성동,강도,검거,7.0,2013-01-01
성동,강간,발생,101.0,2013-01-01
성동,강간,검거,79.0,2013-01-01
