,구분,강간 검거,강간 발생,강도 검거,강도 발생,살인 검거,살인 발생,절도 검거,절도 발생,폭력 검거,폭력 발생
0,강남,3298.0,4400.0,1079.0,1418.0,134.0,139.0,17550.0,41710.0,54241.0,60534.0
1,강동,2112.0,2386.0,849.0,828.0,129.0,130.0,18405.0,31537.0,52013.0,57113.0
2,강북,2114.0,2522.0,796.0,779.0,135.0,142.0,13624.0,22637.0,47321.0,50874.0
3,강서,2797.0,3300.0,921.0,1014.0,197.0,201.0,18146.0,38363.0,58420.0,65401.0
4,관악,3241.0,4942.0,704.0,912.0,141.0,152.0,15971.0,42667.0,53453.0,61293.0
5,광진,2988.0,3569.0,910.0,1006.0,162.0,150.0,22371.0,45594.0,51505.0,58664.0
6,구로,2350.0,3856.0,641.0,751.0,201.0,202.0,15757.0,35673.0,52361.0,59684.0
7,금천,1961.0,2244.0,676.0,865.0,171.0,168.0,15652.0,29614.0,47834.0,53768.0
8,남대문,802.0,975.0,220.0,226.0,37.0,33.0,8896.0,15617.0,18434.0,19803.0
9,노원,2034.0,2392.0,377.0,386.0,132.0,130.0,15397.0,28534.0,45759.0,50226.0
10,도봉,1557.0,1645.0,380.0,395.0,90.0,90.0,11700.0,21874.0,35071.0,38276.0
11,동대문,2254.0,2550.0,805.0,869.0,166.0,173.0,17963.0,28727.0,53782.0,57093.0
12,동작,1875.0,3481.0,447.0,653.0,130.0,134.0,14036.0,29910.0,36797.0,41226.0
13,마포,3125.0,3724.0,655.0,810.0,87.0,103.0,16527.0,38994.0,50056.0,56639.0
14,방배,809.0,1385.0,338.0,337.0,41.0,33.0,6939.0,12549.0,16616.0,18165.0
15,서대문,2219.0,2569.0,644.0,659.0,108.0,106.0,15443.0,29448.0,35481.0,39991.0
16,서부,1040.0,1124.0,534.0,474.0,87.0,81.0,10365.0,17522.0,27791.0,30288.0
17,서초,2464.0,4095.0,701.0,1061.0,87.0,92.0,14407.0,28719.0,37170.0,41247.0
18,성동,1414.0,1730.0,503.0,514.0,88.0,87.0,15196.0,26570.0,34654.0,38323.0
19,성북,1110.0,1534.0,341.0,327.0,74.0,81.0,10076.0,16302.0,23330.0,25782.0
20,송파,2735.0,3388.0,714.0,759.0,131.0,139.0,17501.0,45883.0,55187.0,63198.0
21,수서,1708.0,2048.0,576.0,662.0,85.0,90.0,12038.0,27340.0,35666.0,41268.0
22,양천,1590.0,1877.0,505.0,574.0,117.0,115.0,15637.0,31319.0,41701.0,48129.0
23,영등포,2740.0,3690.0,631.0,765.0,244.0,258.0,19046.0,40057.0,56467.0,64158.0
24,용산,2326.0,2678.0,578.0,704.0,118.0,122.0,14352.0,24067.0,34900.0,39638.0
25,은평,1253.0,1362.0,338.0,356.0,81.0,87.0,10095.0,19390.0,29720.0,32999.0
26,종로,1339.0,1562.0,300.0,289.0,59.0,72.0,8978.0,15286.0,23870.0,26711.0
27,종암,1018.0,1132.0,479.0,454.0,90.0,89.0,10351.0,16181.0,26722.0,29060.0
28,중랑,2207.0,2573.0,760.0,827.0,197.0,194.0,18048.0,31458.0,59180.0,64950.0
29,중부,1159.0,1942.0,265.0,283.0,41.0,38.0,10206.0,19888.0,26737.0,29308.0
30,혜화,1110.0,1721.0,282.0,335.0,51.0,52.0,11397.0,18349.0,28382.0,30568.0
