,구분,죄종,발생검거,건수,date
0,중부,살인,발생,1.0,2000-01-01
1,중부,살인,검거,1.0,2000-01-01
2,중부,강도,발생,17.0,2000-01-01
3,중부,강도,검거,15.0,2000-01-01
4,중부,강간,발생,14.0,2000-01-01
5,중부,강간,검거,14.0,2000-01-01
6,중부,절도,발생,601.0,2000-01-01
7,중부,절도,검거,569.0,2000-01-01
8,중부,폭력,발생,1783.0,2000-01-01
9,중부,폭력,검거,1762.0,2000-01-01
10,종로,살인,발생,4.0,2000-01-01
11,종로,살인,검거,4.0,2000-01-01
12,종로,강도,발생,24.0,2000-01-01
13,종로,강도,검거,36.0,2000-01-01
14,종로,강간,발생,18.0,2000-01-01
15,종로,강간,검거,18.0,2000-01-01
16,종로,절도,발생,644.0,2000-01-01
17,종로,절도,검거,385.0,2000-01-01
18,종로,폭력,발생,1886.0,2000-01-01
19,종로,폭력,검거,1830.0,2000-01-01
20,남대문,살인,발생,3.0,2000-01-01
21,남대문,살인,검거,3.0,2000-01-01
22,남대문,강도,발생,13.0,2000-01-01
23,남대문,강도,검거,7.0,2000-01-01
24,남대문,강간,발생,26.0,2000-01-01
25,남대문,강간,검거,23.0,2000-01-01
26,남대문,절도,발생,451.0,2000-01-01
27,남대문,절도,검거,273.0,2000-01-01
28,남대문,폭력,발생,1139.0,2000-01-01
29,남대문,폭력,검거,1132.0,2000-01-01
30,서대문,살인,발생,3.0,2000-01-01
31,서대문,살인,검거,2.0,2000-01-01
32,서대문,강도,발생,33.0,2000-01-01
33,서대문,강도,검거,28.0,2000-01-01
34,서대문,강간,발생,54.0,2000-01-01
35,서대문,강간,검거,44.0,2000-01-01
36,서대문,절도,발생,747.0,2000-01-01
37,서대문,절도,검거,312.0,2000-01-01
38,서대문,폭력,발생,2391.0,2000-01-01
39,서대문,폭력,검거,2300.0,2000-01-01
40,혜화,살인,발생,3.0,2000-01-01
41,혜화,살인,검거,3.0,2000-01-01
42,혜화,강도,발생,30.0,2000-01-01
43,혜화,강도,검거,24.0,2000-01-01
44,혜화,강간,발생,40.0,2000-01-01
45,혜화,강간,검거,41.0,2000-01-01
46,혜화,절도,발생,1239.0,2000-01-01
47,혜화,절도,검거,429.0,2000-01-01
48,혜화,폭력,발생,2631.0,2000-01-01
49,혜화,폭력,검거,2444.0,2000-01-01
50,용산,살인,발생,5.0,2000-01-01
51,용산,살인,검거,4.0,2000-01-01
52,용산,강도,발생,52.0,2000-01-01
53,용산,강도,검거,36.0,2000-01-01
54,용산,강간,발생,41.0,2000-01-01
55,용산,강간,검거,39.0,2000-01-01
56,용산,절도,발생,1090.0,2000-01-01
57,용산,절도,검거,388.0,2000-01-01
58,용산,폭력,발생,2667.0,2000-01-01
59,용산,폭력,검거,2462.0,2000-01-01
60,성북,살인,발생,3.0,2000-01-01
61,성북,살인,검거,3.0,2000-01-01
62,성북,강도,발생,27.0,2000-01-01
63,성북,강도,검거,24.0,2000-01-01
64,성북,강간,발생,38.0,2000-01-01
65,성북,강간,검거,32.0,2000-01-01
66,성북,절도,발생,629.0,2000-01-01
67,성북,절도,검거,265.0,2000-01-01
68,성북,폭력,발생,1877.0,2000-01-01
69,성북,폭력,검거,1800.0,2000-01-01
70,동대문,살인,발생,5.0,2000-01-01
71,동대문,살인,검거,6.0,2000-01-01
72,동대문,강도,발생,69.0,2000-01-01
73,동대문,강도,검거,59.0,2000-01-01
74,동대문,강간,발생,72.0,2000-01-01
75,동대문,강간,검거,65.0,2000-01-01
76,동대문,절도,발생,849.0,2000-01-01
77,동대문,절도,검거,529.0,2000-01-01
78,동대문,폭력,발생,4284.0,2000-01-01
79,동대문,폭력,검거,4206.0,2000-01-01
80,마포,살인,발생,3.0,2000-01-01
81,마포,살인,검거,5.0,2000-01-01
82,마포,강도,발생,59.0,2000-01-01
83,마포,강도,검거,35.0,2000-01-01
84,마포,강간,발생,71.0,2000-01-01
85,마포,강간,검거,57.0,2000-01-01
86,마포,절도,발생,1295.0,2000-01-01
87,마포,절도,검거,416.0,2000-01-01
88,마포,폭력,발생,3931.0,2000-01-01
89,마포,폭력,검거,3678.0,2000-01-01
90,영등포,살인,발생,6.0,2000-01-01
91,영등포,살인,검거,7.0,2000-01-01
92,영등포,강도,발생,47.0,2000-01-01
93,영등포,강도,검거,34.0,2000-01-01
94,영등포,강간,발생,50.0,2000-01-01
95,영등포,강간,검거,44.0,2000-01-01
96,영등포,절도,발생,1101.0,2000-01-01
97,영등포,절도,검거,348.0,2000-01-01
98,영등포,폭력,발생,3225.0,2000-01-01
99,영등포,폭력,검거,2965.0,2000-01-01
100,성동,살인,발생,10.0,2000-01-01
101,성동,살인,검거,10.0,2000-01-01
102,성동,강도,발생,27.0,2000-01-01
103,성동,강도,검거,21.0,2000-01-01
104,성동,강간,발생,39.0,2000-01-01
105,성동,강간,검거,36.0,2000-01-01
106,성동,절도,발생,1775.0,2000-01-01
107,성동,절도,검거,463.0,2000-01-01
108,성동,폭력,발생,3198.0,2000-01-01
109,성동,폭력,검거,2871.0,2000-01-01
110,동작,살인,발생,13.0,2000-01-01
111,동작,살인,검거,13.0,2000-01-01
112,동작,강도,발생,53.0,2000-01-01
113,동작,강도,검거,28.0,2000-01-01
114,동작,강간,발생,67.0,2000-01-01
115,동작,강간,검거,60.0,2000-01-01
116,동작,절도,발생,1448.0,2000-01-01
117,동작,절도,검거,474.0,2000-01-01
118,동작,폭력,발생,3367.0,2000-01-01
119,동작,폭력,검거,3086.0,2000-01-01
120,광진,살인,발생,2.0,2000-01-01
121,광진,살인,검거,5.0,2000-01-01
122,광진,강도,발생,58.0,2000-01-01
123,광진,강도,검거,54.0,2000-01-01
124,광진,강간,발생,69.0,2000-01-01
125,광진,강간,검거,72.0,2000-01-01
126,광진,절도,발생,1738.0,2000-01-01
127,광진,절도,검거,697.0,2000-01-01
128,광진,폭력,발생,4575.0,2000-01-01
129,광진,폭력,검거,4379.0,2000-01-01
130,서부,살인,발생,6.0,2000-01-01
131,서부,살인,검거,6.0,2000-01-01
132,서부,강도,발생,21.0,2000-01-01
133,서부,강도,검거,13.0,2000-01-01
134,서부,강간,발생,33.0,2000-01-01
135,서부,강간,검거,27.0,2000-01-01
136,서부,절도,발생,822.0,2000-01-01
137,서부,절도,검거,324.0,2000-01-01
138,서부,폭력,발생,3032.0,2000-01-01
139,서부,폭력,검거,2715.0,2000-01-01
140,강북,살인,발생,9.0,2000-01-01
141,강북,살인,검거,8.0,2000-01-01
142,강북,강도,발생,47.0,2000-01-01
143,강북,강도,검거,48.0,2000-01-01
144,강북,강간,발생,47.0,2000-01-01
145,강북,강간,검거,48.0,2000-01-01
146,강북,절도,발생,859.0,2000-01-01
147,강북,절도,검거,458.0,2000-01-01
148,강북,폭력,발생,3624.0,2000-01-01
149,강북,폭력,검거,3446.0,2000-01-01
150,금천,살인,발생,10.0,2000-01-01
151,금천,살인,검거,9.0,2000-01-01
152,금천,강도,발생,73.0,2000-01-01
153,금천,강도,검거,58.0,2000-01-01
154,금천,강간,발생,66.0,2000-01-01
155,금천,강간,검거,63.0,2000-01-01
156,금천,절도,발생,1799.0,2000-01-01
157,금천,절도,검거,586.0,2000-01-01
158,금천,폭력,발생,4808.0,2000-01-01
159,금천,폭력,검거,4376.0,2000-01-01
160,중랑,살인,발생,13.0,2000-01-01
161,중랑,살인,검거,12.0,2000-01-01
